application_no,contract_ref,subcontractor,site,site_zone,period_from,period_to,application_date,application_total,retention,net_payable,adjustment,retention_released
PA-00139,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2025-04-09,2025-04-20,2025-04-25,182148.14,9107.40,173040.74,0.00,0.00
PA-00140,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2025-03-02,2025-03-19,2025-03-25,67660.74,3383.03,64277.71,0.00,0.00
PA-00141,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z1 Compound,2025-11-16,2025-11-27,2025-12-18,179536.20,8976.81,170559.39,0.00,0.00
PA-00142,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2025-02-22,2025-02-28,2025-03-14,151892.35,7594.61,144297.74,0.00,0.00
PA-00143,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-12-08,2025-12-18,2025-12-27,129831.69,6491.58,123340.11,0.00,0.00
PA-00144,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2025-11-04,2025-11-15,2025-11-22,362824.46,18141.22,344683.24,0.00,0.00
PA-00145,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z4 Escarpment,2026-01-22,2026-02-05,2026-02-15,351565.05,17578.25,333986.80,0.00,0.00
PA-00146,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2025-03-18,2025-03-27,2025-04-06,160360.16,8018.00,152342.16,0.00,0.00
PA-00147,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2025-03-14,2025-03-22,2025-03-28,99071.52,4953.57,94117.95,0.00,0.00
PA-00148,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2025-11-09,2025-11-17,2025-11-19,78300.28,3915.01,74385.27,0.00,0.00
PA-00149,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2026-03-13,2026-03-31,2026-04-08,171701.44,8585.07,163116.37,0.00,0.00
PA-00150,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2026-02-01,2026-02-16,2026-02-21,180446.32,9022.31,171424.01,0.00,0.00
PA-00151,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2025-03-18,2025-04-02,2025-04-08,147414.43,7370.72,140043.71,0.00,0.00
PA-00152,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2026-05-04,2026-05-15,2026-05-28,162426.25,8121.31,154304.94,0.00,0.00
PA-00153,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z4 Escarpment,2025-12-17,2025-12-29,2026-01-04,386709.59,19335.47,367374.12,0.00,0.00
PA-00154,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2025-10-24,2025-11-01,2025-11-04,90678.40,4533.92,86144.48,0.00,0.00
PA-00155,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2026-06-23,2026-07-06,2026-07-12,253085.50,12654.27,240431.23,0.00,0.00
PA-00156,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2025-11-19,2025-12-03,2025-12-21,99511.20,4975.56,94535.64,0.00,0.00
PA-00157,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z3 Wadi Crossing,2025-10-01,2025-10-09,2025-10-30,336343.51,16817.17,319526.34,0.00,0.00
PA-00158,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2025-07-13,2025-07-17,2025-07-28,42690.38,2134.51,40555.87,0.00,0.00
PA-00159,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2026-05-26,2026-06-09,2026-06-17,166702.01,8335.10,158366.91,0.00,0.00
PA-00160,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-05-28,2025-06-13,2025-06-21,190591.65,9529.58,181062.07,0.00,0.00
PA-00161,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2025-06-28,2025-07-12,2025-08-02,121180.04,6059.00,115121.04,0.00,0.00
PA-00162,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2025-02-01,2025-02-17,2025-03-08,151988.27,7599.41,144388.86,0.00,0.00
PA-00163,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-02-09,2025-02-26,2025-03-16,143218.40,7160.92,136057.48,0.00,0.00
PA-00164,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2025-03-06,2025-03-22,2025-04-02,186879.95,9343.99,177535.96,0.00,0.00
PA-00165,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2025-03-18,2025-03-28,2025-04-09,113205.89,5660.29,107545.60,0.00,0.00
PA-00166,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2025-06-29,2025-07-12,2025-07-14,167366.34,8368.31,158998.03,0.00,0.00
PA-00167,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2025-09-28,2025-10-11,2025-10-17,142461.79,7123.08,135338.71,0.00,0.00
PA-00168,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2025-03-16,2025-03-24,2025-04-11,138390.32,6919.51,131470.81,0.00,0.00
PA-00169,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2025-03-24,2025-03-27,2025-04-03,43002.57,2150.12,40852.45,0.00,0.00
PA-00170,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2025-11-17,2025-12-01,2025-12-03,317208.79,15860.43,301348.36,0.00,0.00
PA-00171,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2025-08-25,2025-09-08,2025-09-12,67605.34,3380.26,64225.08,0.00,0.00
PA-00172,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2025-11-12,2025-11-25,2025-12-03,208407.01,10420.35,197986.66,0.00,0.00
PA-00173,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z1 Compound,2025-11-08,2025-11-19,2025-12-05,63460.31,3173.01,60287.30,0.00,0.00
PA-00174,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2025-03-24,2025-04-08,2025-04-28,37784.28,1889.21,35895.07,0.00,0.00
PA-00175,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-01-31,2025-02-08,2025-02-21,49411.10,2470.55,46940.55,0.00,0.00
PA-00176,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-08-26,2025-09-05,2025-09-20,155854.09,7792.70,148061.39,0.00,0.00
PA-00177,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2026-04-30,2026-05-08,2026-05-17,227196.50,11359.82,215836.68,0.00,0.00
PA-00178,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2026-03-17,2026-03-24,2026-04-03,227764.75,11388.23,216376.52,0.00,0.00
PA-00179,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2025-09-28,2025-10-05,2025-10-08,293453.45,14672.67,278780.78,0.00,0.00
PA-00180,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2026-07-23,2026-08-05,2026-08-16,210613.78,10530.68,200083.10,0.00,0.00
PA-00181,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2026-01-02,2026-01-21,2026-01-29,305945.05,15297.25,290647.80,0.00,0.00
PA-00182,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2026-04-29,2026-05-11,2026-05-17,54146.86,2707.34,51439.52,0.00,0.00
PA-00183,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-11-14,2025-11-27,2025-12-06,145409.66,7270.48,138139.18,0.00,0.00
PA-00184,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2025-10-14,2025-10-21,2025-10-30,44724.59,2236.22,42488.37,0.00,0.00
PA-00185,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2026-06-21,2026-06-28,2026-07-02,426295.37,21314.76,404980.61,0.00,0.00
PA-00186,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z4 Escarpment,2025-06-26,2025-07-12,2025-08-02,208603.62,10430.18,198173.44,0.00,0.00
PA-00187,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z2 North Spur,2025-08-13,2025-08-27,2025-08-31,210771.91,10538.59,200233.32,0.00,0.00
PA-00188,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2026-07-29,2026-08-09,2026-08-11,373200.06,18660.00,354540.06,0.00,0.00
PA-00189,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2025-12-10,2025-12-21,2025-12-28,180572.43,9028.62,171543.81,0.00,0.00
PA-00190,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2025-05-30,2025-06-06,2025-06-14,34013.15,1700.65,32312.50,0.00,0.00
PA-00191,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z2 North Spur,2026-05-08,2026-05-14,2026-05-21,198241.98,9912.09,188329.89,0.00,0.00
PA-00192,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2026-02-05,2026-02-16,2026-03-09,509864.87,25493.24,484371.63,0.00,0.00
PA-00193,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-10-23,2025-11-08,2025-11-26,101141.23,5057.06,96084.17,0.00,0.00
PA-00194,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2025-08-26,2025-09-06,2025-09-22,193376.61,9668.83,183707.78,0.00,0.00
PA-00195,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2025-05-07,2025-05-17,2025-05-26,253932.04,12696.60,241235.44,0.00,0.00
PA-00196,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2026-07-08,2026-07-19,2026-07-30,171251.87,8562.59,162689.28,0.00,0.00
PA-00197,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2026-02-13,2026-02-19,2026-03-02,92657.37,4632.86,88024.51,0.00,0.00
PA-00198,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2025-03-01,2025-03-07,2025-03-28,122349.06,6117.45,116231.61,0.00,0.00
PA-00199,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2026-03-04,2026-03-16,2026-03-24,387888.26,19394.41,368493.85,0.00,0.00
PA-00200,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z3 Wadi Crossing,2025-01-29,2025-02-08,2025-02-15,282130.83,14106.54,268024.29,0.00,0.00
PA-00201,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-11-20,2025-11-27,2025-12-10,192926.00,9646.30,183279.70,0.00,0.00
PA-00202,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z2 North Spur,2026-06-07,2026-06-11,2026-06-15,102596.44,5129.82,97466.62,0.00,0.00
PA-00203,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2025-03-24,2025-04-08,2025-04-22,89502.02,4475.10,85026.92,0.00,0.00
PA-00204,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z3 Wadi Crossing,2026-01-06,2026-01-13,2026-02-02,128179.71,6408.98,121770.73,0.00,0.00
PA-00205,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2025-10-02,2025-10-12,2025-10-29,208580.09,10429.00,198151.09,0.00,0.00
PA-00206,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2025-05-10,2025-05-18,2025-06-08,46097.92,2304.89,43793.03,0.00,0.00
PA-00207,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2025-12-16,2025-12-29,2026-01-02,50057.67,2502.88,47554.79,0.00,0.00
PA-00208,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2026-06-14,2026-07-04,2026-07-09,96299.96,4814.99,91484.97,0.00,0.00
PA-00209,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2026-02-15,2026-02-21,2026-03-05,149952.61,7497.63,142454.98,0.00,0.00
PA-00210,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2026-04-19,2026-05-02,2026-05-09,406458.41,20322.92,386135.49,0.00,0.00
PA-00211,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2025-06-28,2025-07-07,2025-07-27,165749.82,8287.49,157462.33,0.00,0.00
PA-00212,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2025-03-14,2025-03-27,2025-04-06,269241.51,13462.07,255779.44,0.00,0.00
PA-00213,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-10-08,2025-10-15,2025-10-21,34998.72,1749.93,33248.79,0.00,0.00
PA-00214,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z4 Escarpment,2026-01-22,2026-01-31,2026-02-18,59772.50,2988.62,56783.88,0.00,0.00
PA-00215,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z1 Compound,2026-01-31,2026-02-06,2026-02-10,28770.20,1438.51,27331.69,0.00,0.00
PA-00216,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2025-06-18,2025-06-29,2025-07-09,361313.61,18065.68,343247.93,0.00,0.00
PA-00217,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2025-07-25,2025-08-02,2025-08-23,223325.95,11166.29,212159.66,0.00,0.00
PA-00218,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2026-06-11,2026-06-28,2026-07-16,115779.99,5788.99,109991.00,0.00,0.00
PA-00219,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2026-07-09,2026-07-27,2026-08-16,75444.21,3772.21,71672.00,0.00,0.00
PA-00220,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z4 Escarpment,2025-05-29,2025-06-10,2025-07-01,310727.62,15536.38,295191.24,0.00,0.00
PA-00221,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2026-05-06,2026-05-25,2026-06-05,326957.74,16347.88,310609.86,0.00,0.00
PA-00222,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2026-06-08,2026-06-17,2026-06-28,64093.46,3204.67,60888.79,0.00,0.00
PA-00223,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-10-22,2025-11-05,2025-11-19,66854.70,3342.73,63511.97,0.00,0.00
PA-00224,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2026-02-02,2026-02-11,2026-02-18,236660.02,11833.00,224827.02,0.00,0.00
PA-00225,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2025-06-30,2025-07-14,2025-07-29,169550.44,8477.52,161072.92,0.00,0.00
PA-00226,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2025-12-02,2025-12-08,2025-12-21,91963.13,4598.15,87364.98,0.00,0.00
PA-00227,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2025-03-22,2025-03-28,2025-04-17,134996.78,6749.83,128246.95,0.00,0.00
PA-00228,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2025-08-30,2025-09-11,2025-09-13,85345.38,4267.26,81078.12,0.00,0.00
PA-00229,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2026-06-14,2026-06-23,2026-07-05,111974.52,5598.72,106375.80,0.00,0.00
PA-00230,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2025-04-03,2025-04-21,2025-05-11,216440.23,10822.01,205618.22,0.00,0.00
PA-00231,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2025-05-23,2025-06-06,2025-06-11,268835.61,13441.78,255393.83,0.00,0.00
PA-00232,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2025-05-02,2025-05-20,2025-06-08,266042.26,13302.11,252740.15,0.00,0.00
PA-00233,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z2 North Spur,2025-01-09,2025-01-19,2025-02-08,204976.37,10248.81,194727.56,0.00,0.00
PA-00234,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2025-03-12,2025-03-30,2025-04-10,21038.94,1051.94,19987.00,0.00,0.00
PA-00235,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2025-12-14,2025-12-28,2026-01-04,260431.76,13021.58,247410.18,0.00,0.00
PA-00236,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z1 Compound,2025-11-13,2025-11-25,2025-12-09,119650.01,5982.50,113667.51,0.00,0.00
PA-00237,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2026-01-05,2026-01-11,2026-01-13,33738.92,1686.94,32051.98,0.00,0.00
PA-00238,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2026-01-24,2026-01-30,2026-02-03,237327.40,11866.37,225461.03,0.00,0.00
PA-00239,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2025-09-27,2025-10-04,2025-10-06,150248.06,7512.40,142735.66,0.00,0.00
PA-00240,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z3 Wadi Crossing,2026-08-03,2026-08-20,2026-08-26,152423.23,7621.16,144802.07,0.00,0.00
PA-00241,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2025-03-22,2025-03-29,2025-04-17,197665.53,9883.27,187782.26,0.00,0.00
PA-00242,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2025-03-25,2025-04-04,2025-04-24,133353.22,6667.66,126685.56,0.00,0.00
PA-00243,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2026-06-23,2026-07-10,2026-07-24,94099.16,4704.95,89394.21,0.00,0.00
PA-00244,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-11-26,2025-12-03,2025-12-16,310112.62,15505.63,294606.99,0.00,0.00
PA-00245,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z1 Compound,2025-05-24,2025-06-03,2025-06-15,328253.16,16412.65,311840.51,0.00,0.00
PA-00246,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2025-03-18,2025-03-30,2025-04-10,39999.30,1999.96,37999.34,0.00,0.00
PA-00247,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2026-01-29,2026-02-02,2026-02-11,232870.45,11643.52,221226.93,0.00,0.00
PA-00248,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z2 North Spur,2026-08-22,2026-08-28,2026-09-10,30917.93,1545.89,29372.04,0.00,0.00
PA-00249,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2025-01-12,2025-02-01,2025-02-19,134994.19,6749.70,128244.49,0.00,0.00
PA-00250,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2025-03-08,2025-03-25,2025-04-05,204126.19,10206.30,193919.89,0.00,0.00
PA-00251,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2025-09-27,2025-10-04,2025-10-19,131830.46,6591.52,125238.94,0.00,0.00
PA-00252,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-09-23,2025-10-10,2025-10-18,111258.43,5562.92,105695.51,0.00,0.00
PA-00253,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2026-01-12,2026-01-17,2026-02-01,28893.06,1444.65,27448.41,0.00,0.00
PA-00254,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-08-28,2025-09-05,2025-09-18,95260.11,4763.00,90497.11,0.00,0.00
PA-00255,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2026-08-17,2026-08-22,2026-09-02,60774.87,3038.74,57736.13,0.00,0.00
PA-00256,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2025-07-23,2025-08-01,2025-08-13,32925.94,1646.29,31279.65,0.00,0.00
PA-00257,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2026-03-15,2026-03-22,2026-04-02,39797.78,1989.88,37807.90,0.00,0.00
PA-00258,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z3 Wadi Crossing,2026-06-11,2026-06-22,2026-07-11,232973.37,11648.66,221324.71,0.00,0.00
PA-00259,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2025-06-30,2025-07-12,2025-07-25,29305.09,1465.25,27839.84,0.00,0.00
PA-00260,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z1 Compound,2026-08-21,2026-08-25,2026-09-06,98678.20,4933.91,93744.29,0.00,0.00
PA-00261,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2026-02-10,2026-02-17,2026-02-24,84550.74,4227.53,80323.21,0.00,0.00
PA-00262,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z2 North Spur,2026-07-09,2026-07-26,2026-08-14,541271.39,27063.56,514207.83,0.00,0.00
PA-00263,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2026-08-13,2026-08-21,2026-08-30,280053.08,14002.65,266050.43,0.00,0.00
PA-00264,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z1 Compound,2025-01-11,2025-01-21,2025-02-01,290857.95,14542.89,276315.06,0.00,0.00
PA-00265,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z4 Escarpment,2025-07-25,2025-08-08,2025-08-16,153036.29,7651.81,145384.48,0.00,0.00
PA-00266,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2026-05-28,2026-06-05,2026-06-21,44700.19,2235.00,42465.19,0.00,0.00
PA-00267,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2025-05-01,2025-05-16,2025-06-06,188220.33,9411.01,178809.32,0.00,0.00
PA-00268,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2026-06-06,2026-06-13,2026-07-04,81404.75,4070.23,77334.52,0.00,0.00
PA-00269,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2025-10-16,2025-10-25,2025-11-09,369743.54,18487.17,351256.37,0.00,0.00
PA-00270,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2025-04-29,2025-05-13,2025-05-23,79091.83,3954.59,75137.24,0.00,0.00
PA-00271,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2025-05-15,2025-06-04,2025-06-22,342529.75,17126.48,325403.27,0.00,0.00
PA-00272,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z3 Wadi Crossing,2026-04-21,2026-04-29,2026-05-04,201167.58,10058.37,191109.21,0.00,0.00
PA-00273,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2026-05-15,2026-05-19,2026-05-24,139628.33,6981.41,132646.92,0.00,0.00
PA-00274,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2026-01-23,2026-02-07,2026-02-27,100533.80,5026.69,95507.11,0.00,0.00
PA-00275,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-11-25,2025-12-02,2025-12-07,84319.58,4215.97,80103.61,0.00,0.00
PA-00276,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2025-01-18,2025-01-28,2025-01-30,59549.36,2977.46,56571.90,0.00,0.00
PA-00277,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z3 Wadi Crossing,2025-01-10,2025-01-21,2025-01-27,162833.43,8141.67,154691.76,0.00,0.00
