line_ref,application_no,line_no,work_date,site,item_code,description,unit,site_zone,ground_class,quantity,rate_applied,amount,night_work,record_ref
PA-00093-05,PA-00093,5,2025-11-18,S-05 Compound Extension,D.41.050,Bitumen tack coat between courses,m2,Z4 Escarpment,,710,7.94,5637.40,N,
PA-00093-06,PA-00093,6,2025-11-20,S-05 Compound Extension,A.13.010,Disposal of excavated material off site,m3,Z4 Escarpment,,312,22.74,7094.88,N,
PA-00094-01,PA-00094,1,2025-05-04,S-01 Platform North,A.11.020,"Removal of existing hardstanding, broken out",m2,Z3 Wadi Crossing,G2 Firm Sabkha,334,14.20,4742.80,N,
PA-00094-02,PA-00094,2,2025-05-13,S-01 Platform North,A.11.020,"Removal of existing hardstanding, broken out",m2,Z3 Wadi Crossing,G1 Loose Sand,445,13.35,5940.75,N,
PA-00094-03,PA-00094,3,2025-05-01,S-01 Platform North,D.41.020,"Dense bitumen macadam binder course, 60 mm",m2,Z3 Wadi Crossing,,331,245.60,81293.60,Y,
PA-00094-04,PA-00094,4,2025-05-11,S-01 Platform North,D.41.030,"Stone mastic asphalt surface course, 40 mm",m2,Z3 Wadi Crossing,,232,105.02,24364.64,N,
PA-00094-05,PA-00094,5,2025-05-06,S-01 Platform North,A.12.030,"Excavation in trench, depth 2 m to 4 m",m3,Z3 Wadi Crossing,G2 Firm Sabkha,93,54.50,5068.50,Y,DX-00056
PA-00094-06,PA-00094,6,2025-05-02,S-01 Platform North,A.13.030,Double handling of stockpiled material,m3,Z3 Wadi Crossing,,271,11.22,3040.62,N,
PA-00094-07,PA-00094,7,2025-05-10,S-01 Platform North,B.26.010,"Surface treatment, power float to slabs",m2,Z3 Wadi Crossing,,195,19.69,3839.55,N,
PA-00094-08,PA-00094,8,2025-04-29,S-01 Platform North,A.11.020,"Removal of existing hardstanding, broken out",m2,Z3 Wadi Crossing,G1 Loose Sand,418,13.35,5580.30,N,
PA-00095-01,PA-00095,1,2025-08-06,S-01 Platform North,B.23.020,"Mesh reinforcement, A393, laid and lapped",m2,Z3 Wadi Crossing,,465,164.88,76669.20,N,JS-00114
PA-00095-02,PA-00095,2,2025-08-08,S-01 Platform North,C.35.010,CCTV survey of completed drainage run,lm,Z3 Wadi Crossing,,270,10.76,2905.20,N,CV-00046
PA-00095-03,PA-00095,3,2025-07-29,S-01 Platform North,C.32.030,"Precast manhole, 1800 mm diameter, depth to 5 m",no.,Z3 Wadi Crossing,G3 Cemented Fill,3,4001.09,12003.27,N,PT-00099
PA-00095-04,PA-00095,4,2025-08-08,S-01 Platform North,B.23.010,"High-yield reinforcement bar, cut, bent and fixed",tonne,Z3 Wadi Crossing,,4,4719.58,18878.32,N,JS-00117
PA-00095-05,PA-00095,5,2025-07-30,S-01 Platform North,A.12.050,Excavation for manholes and chambers,m3,Z3 Wadi Crossing,G5 Sound Rock,297,97.80,29046.60,N,
PA-00095-06,PA-00095,6,2025-08-10,S-01 Platform North,B.21.050,"Mass concrete fill to voids, C20/25",m3,Z3 Wadi Crossing,,134,338.92,45415.28,N,
PA-00096-01,PA-00096,1,2025-12-18,S-04 Drainage Corridor,B.23.010,"High-yield reinforcement bar, cut, bent and fixed",tonne,Z2 North Spur,,21,4212.28,88457.88,N,JS-00216
PA-00096-02,PA-00096,2,2025-12-14,S-04 Drainage Corridor,C.31.020,"Ductile iron pipe, 400 mm, laid and jointed",lm,Z2 North Spur,G3 Cemented Fill,176,226.84,39923.84,N,PT-00168
PA-00096-03,PA-00096,3,2025-12-21,S-04 Drainage Corridor,A.12.010,General excavation to reduce level,m3,Z2 North Spur,G3 Cemented Fill,415,21.19,8793.85,N,
PA-00096-04,PA-00096,4,2025-12-13,S-04 Drainage Corridor,E.51.020,"Traffic management, two-way signals, per day",day,Z2 North Spur,,1,684.00,684.00,N,
PA-00096-05,PA-00096,5,2025-12-15,S-04 Drainage Corridor,D.41.050,Bitumen tack coat between courses,m2,Z2 North Spur,,331,6.57,2174.67,N,
PA-00096-06,PA-00096,6,2025-12-15,S-04 Drainage Corridor,C.31.010,"uPVC drainage pipe, 225 mm, laid and jointed",lm,Z2 North Spur,G3 Cemented Fill,344,116.55,40093.20,Y,
PA-00096-07,PA-00096,7,2025-12-24,S-04 Drainage Corridor,A.14.020,Backfilling to trenches with selected arisings,m3,Z2 North Spur,G3 Cemented Fill,40,23.74,949.60,N,
PA-00096-08,PA-00096,8,2025-12-19,S-04 Drainage Corridor,C.35.010,CCTV survey of completed drainage run,lm,Z2 North Spur,,258,9.96,2569.68,N,CV-00074
PA-00096-09,PA-00096,9,2025-12-21,S-04 Drainage Corridor,B.27.010,"Movement joint, 20 mm, sealed both faces",lm,Z2 North Spur,,94,94.87,8917.78,N,
PA-00096-10,PA-00096,10,2025-12-19,S-04 Drainage Corridor,A.13.030,Double handling of stockpiled material,m3,Z2 North Spur,,97,10.39,1007.83,N,
PA-00096-11,PA-00096,11,2025-12-17,S-04 Drainage Corridor,D.42.030,"Edging to footway, flat top, bedded",lm,Z2 North Spur,,292,41.76,12193.92,N,
PA-00097-01,PA-00097,1,2026-06-06,S-02 Platform South,D.43.010,"Road marking, thermoplastic, 100 mm line",lm,Z4 Escarpment,,249,18.94,4716.06,N,
PA-00097-02,PA-00097,2,2026-06-08,S-02 Platform South,C.31.030,"uPVC drainage pipe, 150 mm, laid and jointed",lm,Z4 Escarpment,G2 Firm Sabkha,336,70.14,23567.04,Y,
PA-00097-03,PA-00097,3,2026-06-10,S-02 Platform South,E.51.010,"Wet weather standby, plant and operator",hour,Z4 Escarpment,,8,246.00,1968.00,N,MO-00124
PA-00097-04,PA-00097,4,2026-06-05,S-02 Platform South,E.53.010,Attendance on statutory undertaker,day,Z4 Escarpment,,1,389.00,389.00,N,
PA-00097-05,PA-00097,5,2026-06-03,S-02 Platform South,D.44.010,"Road stud, reflective, bedded in resin",no.,Z4 Escarpment,,7,40.70,284.90,N,
PA-00097-06,PA-00097,6,2026-06-06,S-02 Platform South,D.41.050,Bitumen tack coat between courses,m2,Z4 Escarpment,,180,7.94,1429.20,N,
PA-00097-07,PA-00097,7,2026-06-04,S-02 Platform South,E.51.020,"Traffic management, two-way signals, per day",day,Z4 Escarpment,,1,684.00,684.00,N,
PA-00097-08,PA-00097,8,2026-06-05,S-02 Platform South,B.22.010,"Formwork to vertical faces, basic finish",m2,Z4 Escarpment,,109,88.68,9666.12,N,
PA-00097-09,PA-00097,9,2026-06-09,S-02 Platform South,A.11.020,"Removal of existing hardstanding, broken out",m2,Z4 Escarpment,G2 Firm Sabkha,74,15.87,1174.38,N,
PA-00098-01,PA-00098,1,2025-04-21,S-02 Platform South,A.12.040,"Excavation in trench, depth exceeding 4 m",m3,Z2 North Spur,G1 Loose Sand,60,68.95,4137.00,N,DX-00051
PA-00098-02,PA-00098,2,2025-04-26,S-02 Platform South,D.42.010,"Precast concrete kerb, bedded and haunched",lm,Z2 North Spur,,23,75.47,1735.81,N,
PA-00098-03,PA-00098,3,2025-04-27,S-02 Platform South,C.32.020,Gully pot and connection to carrier drain,no.,Z2 North Spur,,1,304.22,304.22,N,
PA-00098-04,PA-00098,4,2025-04-22,S-02 Platform South,A.14.020,Backfilling to trenches with selected arisings,m3,Z2 North Spur,G4 Weathered Rock,184,32.65,6007.60,N,
PA-00098-05,PA-00098,5,2025-04-24,S-02 Platform South,D.42.020,"Precast concrete channel, bedded and haunched",lm,Z2 North Spur,,283,68.69,19439.27,N,
PA-00099-01,PA-00099,1,2026-07-26,S-04 Drainage Corridor,B.22.020,"Formwork to soffits, propped, height to 3.5 m",m2,Z2 North Spur,,364,97.31,35420.84,N,
PA-00099-02,PA-00099,2,2026-07-24,S-04 Drainage Corridor,B.26.010,"Surface treatment, power float to slabs",m2,Z2 North Spur,,386,18.23,7036.78,N,
PA-00099-03,PA-00099,3,2026-07-26,S-04 Drainage Corridor,A.12.020,"Excavation in trench, depth not exceeding 2 m",m3,Z2 North Spur,G1 Loose Sand,235,35.78,8408.30,N,
PA-00099-04,PA-00099,4,2026-07-26,S-04 Drainage Corridor,A.12.040,"Excavation in trench, depth exceeding 4 m",m3,Z2 North Spur,G3 Cemented Fill,270,73.35,19804.50,N,DX-00256
PA-00099-05,PA-00099,5,2026-07-24,S-04 Drainage Corridor,A.12.060,Trimming of formation to level and gradient,m2,Z2 North Spur,,555,7.31,4057.05,N,
PA-00099-06,PA-00099,6,2026-07-24,S-04 Drainage Corridor,E.51.030,"Standing time, tracked excavator and operator",hour,Z2 North Spur,,7,312.00,2184.00,N,PS-00132
PA-00099-07,PA-00099,7,2026-07-23,S-04 Drainage Corridor,B.26.010,"Surface treatment, power float to slabs",m2,Z2 North Spur,,688,18.23,12542.24,N,
PA-00099-08,PA-00099,8,2026-07-25,S-04 Drainage Corridor,C.34.010,"Headwall to outfall, precast, bedded",no.,Z2 North Spur,,3,1022.90,3068.70,N,
PA-00099-09,PA-00099,9,2026-07-22,S-04 Drainage Corridor,C.31.010,"uPVC drainage pipe, 225 mm, laid and jointed",lm,Z2 North Spur,G3 Cemented Fill,236,102.70,24237.20,N,
PA-00099-10,PA-00099,10,2026-07-22,S-04 Drainage Corridor,C.32.010,"Precast manhole, 1200 mm diameter, depth to 3 m",no.,Z2 North Spur,G1 Loose Sand,6,1934.80,11608.80,N,
PA-00099-11,PA-00099,11,2026-07-24,S-04 Drainage Corridor,B.27.010,"Movement joint, 20 mm, sealed both faces",lm,Z2 North Spur,,364,94.87,34532.68,N,
PA-00100-01,PA-00100,1,2025-04-23,S-05 Compound Extension,B.23.010,"High-yield reinforcement bar, cut, bent and fixed",tonne,Z1 Compound,,13,3996.40,51953.20,N,JS-00054
PA-00100-02,PA-00100,2,2025-04-22,S-05 Compound Extension,A.14.010,"Imported granular fill, placed and compacted",m3,Z1 Compound,,265,50.54,13393.10,N,CT-00054
PA-00100-03,PA-00100,3,2025-04-23,S-05 Compound Extension,A.14.010,"Imported granular fill, placed and compacted",m3,Z1 Compound,,368,50.54,18598.72,N,CT-00056
PA-00100-04,PA-00100,4,2025-04-29,S-05 Compound Extension,A.14.020,Backfilling to trenches with selected arisings,m3,Z1 Compound,G1 Loose Sand,154,21.06,3243.24,N,
PA-00101-01,PA-00101,1,2026-07-12,S-02 Platform South,B.22.030,"Formwork to edges and risers, height to 500 mm",lm,Z2 North Spur,,26,45.16,1174.16,N,
PA-00101-02,PA-00101,2,2026-07-13,S-02 Platform South,D.43.010,"Road marking, thermoplastic, 100 mm line",lm,Z2 North Spur,,292,15.69,4581.48,N,
PA-00101-03,PA-00101,3,2026-07-17,S-02 Platform South,A.16.010,"Dewatering by wellpoint, per week in operation",week,Z2 North Spur,,1,1615.44,1615.44,N,DW-00109
PA-00101-04,PA-00101,4,2026-07-14,S-02 Platform South,D.43.020,"Road marking, thermoplastic, hatched area",m2,Z2 North Spur,,703,45.16,31747.48,N,
PA-00101-05,PA-00101,5,2026-07-09,S-02 Platform South,B.21.040,"Reinforced concrete to walls, C32/40",m3,Z2 North Spur,,267,474.88,126792.96,N,PR-00339
PA-00101-06,PA-00101,6,2026-07-17,S-02 Platform South,C.31.040,"Concrete surround to pipe, Class A bedding",lm,Z2 North Spur,,49,77.49,3797.01,N,
PA-00101-07,PA-00101,7,2026-07-19,S-02 Platform South,B.23.020,"Mesh reinforcement, A393, laid and lapped",m2,Z2 North Spur,,672,153.46,103125.12,N,JS-00347
PA-00101-08,PA-00101,8,2026-07-16,S-02 Platform South,B.22.020,"Formwork to soffits, propped, height to 3.5 m",m2,Z2 North Spur,,600,97.31,58386.00,N,
PA-00101-09,PA-00101,9,2026-07-09,S-02 Platform South,D.42.030,"Edging to footway, flat top, bedded",lm,Z2 North Spur,,288,41.76,12026.88,N,
PA-00101-10,PA-00101,10,2026-07-09,S-02 Platform South,E.52.010,"Joint survey and setting out, chainage band",no.,Z2 North Spur,,5,478.00,2390.00,N,JS-00339
PA-00101-11,PA-00101,11,2026-07-15,S-02 Platform South,A.12.010,General excavation to reduce level,m3,Z2 North Spur,G5 Sound Rock,364,21.88,7964.32,N,
PA-00101-12,PA-00101,12,2026-07-09,S-02 Platform South,A.12.010,General excavation to reduce level,m3,Z2 North Spur,G4 Weathered Rock,234,21.88,5119.92,N,
PA-00101-13,PA-00101,13,2026-07-16,S-02 Platform South,D.41.040,"Capping layer, 300 mm compacted",m2,Z2 North Spur,,844,31.79,26830.76,N,CT-00362
PA-00102-01,PA-00102,1,2025-12-25,S-03 Access Road,B.22.020,"Formwork to soffits, propped, height to 3.5 m",m2,Z1 Compound,,659,91.80,60496.20,N,
PA-00102-02,PA-00102,2,2025-12-25,S-03 Access Road,A.12.030,"Excavation in trench, depth 2 m to 4 m",m3,Z1 Compound,G5 Sound Rock,193,47.60,9186.80,N,DX-00170
PA-00102-03,PA-00102,3,2026-01-04,S-03 Access Road,B.24.010,"Waterstop to construction joints, 230 mm",lm,Z1 Compound,,308,67.40,20759.20,N,
PA-00102-04,PA-00102,4,2026-01-04,S-03 Access Road,B.22.010,"Formwork to vertical faces, basic finish",m2,Z1 Compound,,843,69.29,58411.47,N,
PA-00102-05,PA-00102,5,2026-01-01,S-03 Access Road,B.23.010,"High-yield reinforcement bar, cut, bent and fixed",tonne,Z1 Compound,,24,3973.85,95372.40,N,JS-00223
PA-00102-06,PA-00102,6,2026-01-01,S-03 Access Road,A.11.010,"Site clearance, vegetation and topsoil strip",m2,Z1 Compound,,729,3.85,2806.65,N,
PA-00102-07,PA-00102,7,2025-12-29,S-03 Access Road,D.41.040,"Capping layer, 300 mm compacted",m2,Z1 Compound,,789,29.99,23662.11,N,CT-00235
PA-00102-08,PA-00102,8,2026-01-04,S-03 Access Road,B.22.030,"Formwork to edges and risers, height to 500 mm",lm,Z1 Compound,,194,42.60,8264.40,N,
PA-00103-01,PA-00103,1,2025-06-06,S-01 Platform North,A.16.010,"Dewatering by wellpoint, per week in operation",week,Z1 Compound,,1,1524.00,1524.00,N,DW-00024
PA-00103-02,PA-00103,2,2025-06-07,S-01 Platform North,C.31.020,"Ductile iron pipe, 400 mm, laid and jointed",lm,Z1 Compound,G2 Firm Sabkha,49,214.00,10486.00,N,PT-00073
PA-00103-03,PA-00103,3,2025-06-07,S-01 Platform North,E.51.030,"Standing time, tracked excavator and operator",hour,Z1 Compound,,10,312.00,3120.00,N,PS-00036
PA-00103-04,PA-00103,4,2025-06-07,S-01 Platform North,C.32.030,"Precast manhole, 1800 mm diameter, depth to 5 m",no.,Z1 Compound,G1 Loose Sand,3,2932.80,8798.40,N,PT-00074
PA-00103-05,PA-00103,5,2025-05-29,S-01 Platform North,A.15.020,"Earthwork support to trenches, depth exceeding 2 m",m2,Z1 Compound,G1 Loose Sand,73,46.53,3396.69,N,
PA-00103-06,PA-00103,6,2025-06-03,S-01 Platform North,D.41.020,"Dense bitumen macadam binder course, 60 mm",m2,Z1 Compound,,52,219.80,11429.60,N,
PA-00103-07,PA-00103,7,2025-06-04,S-01 Platform North,A.11.010,"Site clearance, vegetation and topsoil strip",m2,Z1 Compound,,99,3.85,381.15,N,
PA-00103-08,PA-00103,8,2025-06-04,S-01 Platform North,C.31.020,"Ductile iron pipe, 400 mm, laid and jointed",lm,Z1 Compound,G2 Firm Sabkha,52,214.00,11128.00,N,PT-00069
PA-00104-01,PA-00104,1,2026-03-20,S-03 Access Road,C.34.010,"Headwall to outfall, precast, bedded",no.,Z1 Compound,,1,965.00,965.00,N,
PA-00104-02,PA-00104,2,2026-03-19,S-03 Access Road,A.13.030,Double handling of stockpiled material,m3,Z1 Compound,,191,9.80,1871.80,N,
PA-00104-03,PA-00104,3,2026-03-23,S-03 Access Road,C.32.030,"Precast manhole, 1800 mm diameter, depth to 5 m",no.,Z1 Compound,G2 Firm Sabkha,3,2964.00,8892.00,N,PT-00213
PA-00104-04,PA-00104,4,2026-03-22,S-03 Access Road,A.15.010,"Earthwork support to trenches, depth to 2 m",m2,Z1 Compound,G5 Sound Rock,309,31.80,9826.20,N,
PA-00104-05,PA-00104,5,2026-03-18,S-03 Access Road,E.51.020,"Traffic management, two-way signals, per day",day,Z1 Compound,,1,684.00,684.00,N,
PA-00104-06,PA-00104,6,2026-03-23,S-03 Access Road,E.51.030,"Standing time, tracked excavator and operator",hour,Z1 Compound,,10,312.00,3120.00,N,PS-00099
PA-00104-07,PA-00104,7,2026-03-20,S-03 Access Road,B.22.020,"Formwork to soffits, propped, height to 3.5 m",m2,Z1 Compound,,373,91.80,34241.40,N,
PA-00105-01,PA-00105,1,2025-10-03,S-01 Platform North,B.22.030,"Formwork to edges and risers, height to 500 mm",lm,Z2 North Spur,,124,45.16,5599.84,N,
PA-00105-02,PA-00105,2,2025-09-28,S-01 Platform North,D.41.050,Bitumen tack coat between courses,m2,Z2 North Spur,,580,6.57,3810.60,N,
PA-00105-03,PA-00105,3,2025-10-04,S-01 Platform North,D.41.040,"Capping layer, 300 mm compacted",m2,Z2 North Spur,,691,31.79,21966.89,N,CT-00172
PA-00105-04,PA-00105,4,2025-09-28,S-01 Platform North,C.31.020,"Ductile iron pipe, 400 mm, laid and jointed",lm,Z2 North Spur,G1 Loose Sand,291,226.84,66010.44,N,PT-00133
PA-00105-05,PA-00105,5,2025-09-26,S-01 Platform North,D.42.010,"Precast concrete kerb, bedded and haunched",lm,Z2 North Spur,,288,75.47,21735.36,N,
PA-00105-06,PA-00105,6,2025-10-01,S-01 Platform North,D.41.050,Bitumen tack coat between courses,m2,Z2 North Spur,,391,6.57,2568.87,N,
PA-00105-07,PA-00105,7,2025-09-23,S-01 Platform North,E.51.010,"Wet weather standby, plant and operator",hour,Z2 North Spur,,1,246.00,246.00,N,MO-00055
PA-00105-08,PA-00105,8,2025-09-21,S-01 Platform North,A.12.050,Excavation for manholes and chambers,m3,Z2 North Spur,G1 Loose Sand,127,52.21,6630.67,N,
PA-00105-09,PA-00105,9,2025-09-29,S-01 Platform North,B.24.010,"Waterstop to construction joints, 230 mm",lm,Z2 North Spur,,321,71.44,22932.24,N,
PA-00105-10,PA-00105,10,2025-09-24,S-01 Platform North,E.51.020,"Traffic management, two-way signals, per day",day,Z2 North Spur,,1,684.00,684.00,N,
PA-00105-11,PA-00105,11,2025-09-26,S-01 Platform North,C.33.010,"Ducting, 4-way 110 mm, bedded in sand",lm,Z2 North Spur,G5 Sound Rock,39,102.11,3982.29,N,
PA-00106-01,PA-00106,1,2025-09-22,S-03 Access Road,A.16.010,"Dewatering by wellpoint, per week in operation",week,Z1 Compound,,1,1524.00,1524.00,N,DW-00047
PA-00106-02,PA-00106,2,2025-10-01,S-03 Access Road,C.32.040,"Manhole cover and frame, Class D400, bedded",no.,Z1 Compound,,6,1587.94,9527.64,N,
PA-00106-03,PA-00106,3,2025-09-23,S-03 Access Road,C.31.030,"uPVC drainage pipe, 150 mm, laid and jointed",lm,Z1 Compound,G4 Weathered Rock,276,75.35,20796.60,N,
PA-00106-04,PA-00106,4,2025-09-28,S-03 Access Road,A.13.030,Double handling of stockpiled material,m3,Z1 Compound,,239,9.80,2342.20,N,
PA-00106-05,PA-00106,5,2025-09-26,S-03 Access Road,B.21.050,"Mass concrete fill to voids, C20/25",m3,Z1 Compound,,358,296.00,105968.00,N,
PA-00106-06,PA-00106,6,2025-09-27,S-03 Access Road,D.41.050,Bitumen tack coat between courses,m2,Z1 Compound,,592,6.20,3670.40,N,
PA-00106-07,PA-00106,7,2025-09-29,S-03 Access Road,A.14.030,"Geotextile separation membrane, laid and lapped",m2,Z1 Compound,,462,14.60,6745.20,N,
PA-00107-01,PA-00107,1,2025-07-07,S-02 Platform South,C.32.040,"Manhole cover and frame, Class D400, bedded",no.,Z3 Wadi Crossing,,8,1816.74,14533.92,N,
PA-00107-02,PA-00107,2,2025-07-08,S-02 Platform South,A.12.040,"Excavation in trench, depth exceeding 4 m",m3,Z3 Wadi Crossing,G2 Firm Sabkha,125,79.23,9903.75,N,DX-00087
PA-00107-03,PA-00107,3,2025-07-05,S-02 Platform South,A.14.010,"Imported granular fill, placed and compacted",m3,Z3 Wadi Crossing,,139,57.87,8043.93,N,CT-00112
PA-00107-04,PA-00107,4,2025-07-09,S-02 Platform South,B.22.010,"Formwork to vertical faces, basic finish",m2,Z3 Wadi Crossing,,380,79.33,30145.40,N,
PA-00107-05,PA-00107,5,2025-07-01,S-02 Platform South,E.52.010,"Joint survey and setting out, chainage band",no.,Z3 Wadi Crossing,,8,478.00,3824.00,N,JS-00102
PA-00107-06,PA-00107,6,2025-07-03,S-02 Platform South,B.21.020,"Reinforced concrete to foundations, C32/40",m3,Z3 Wadi Crossing,,35,494.07,17292.45,Y,PR-00115
PA-00108-01,PA-00108,1,2025-03-21,S-03 Access Road,A.13.030,Double handling of stockpiled material,m3,Z3 Wadi Crossing,,253,11.22,2838.66,N,
PA-00108-02,PA-00108,2,2025-03-23,S-03 Access Road,A.12.030,"Excavation in trench, depth 2 m to 4 m",m3,Z3 Wadi Crossing,G4 Weathered Rock,16,74.94,1199.04,N,DX-00034
PA-00108-03,PA-00108,3,2025-03-22,S-03 Access Road,B.21.050,"Mass concrete fill to voids, C20/25",m3,Z3 Wadi Crossing,,326,338.92,110487.92,N,
PA-00108-04,PA-00108,4,2025-03-21,S-03 Access Road,D.43.010,"Road marking, thermoplastic, 100 mm line",lm,Z3 Wadi Crossing,,250,16.95,4237.50,N,
PA-00108-05,PA-00108,5,2025-03-19,S-03 Access Road,C.34.010,"Headwall to outfall, precast, bedded",no.,Z3 Wadi Crossing,,5,1104.93,5524.65,N,
PA-00108-06,PA-00108,6,2025-03-18,S-03 Access Road,D.43.010,"Road marking, thermoplastic, 100 mm line",lm,Z3 Wadi Crossing,,149,16.95,2525.55,N,
PA-00108-07,PA-00108,7,2025-03-18,S-03 Access Road,B.21.050,"Mass concrete fill to voids, C20/25",m3,Z3 Wadi Crossing,,69,338.92,23385.48,N,
PA-00108-08,PA-00108,8,2025-03-18,S-03 Access Road,A.12.050,Excavation for manholes and chambers,m3,Z3 Wadi Crossing,G4 Weathered Rock,416,82.50,34320.00,N,
PA-00109-01,PA-00109,1,2025-05-25,S-01 Platform North,C.31.020,"Ductile iron pipe, 400 mm, laid and jointed",lm,Z3 Wadi Crossing,G2 Firm Sabkha,276,245.03,67628.28,N,PT-00062
PA-00109-02,PA-00109,2,2025-05-31,S-01 Platform North,A.15.010,"Earthwork support to trenches, depth to 2 m",m2,Z3 Wadi Crossing,G1 Loose Sand,145,34.23,4963.35,N,
PA-00109-03,PA-00109,3,2025-06-06,S-01 Platform North,A.12.030,"Excavation in trench, depth 2 m to 4 m",m3,Z3 Wadi Crossing,G1 Loose Sand,111,51.23,5686.53,N,DX-00070
PA-00109-04,PA-00109,4,2025-05-26,S-01 Platform North,D.41.030,"Stone mastic asphalt surface course, 40 mm",m2,Z3 Wadi Crossing,,261,105.02,27410.22,Y,
PA-00109-05,PA-00109,5,2025-06-08,S-01 Platform North,B.23.020,"Mesh reinforcement, A393, laid and lapped",m2,Z3 Wadi Crossing,,836,165.02,137956.72,N,JS-00088
PA-00109-06,PA-00109,6,2025-06-01,S-01 Platform North,C.32.030,"Precast manhole, 1800 mm diameter, depth to 5 m",no.,Z3 Wadi Crossing,G1 Loose Sand,3,3358.06,10074.18,N,PT-00065
PA-00109-07,PA-00109,7,2025-05-26,S-01 Platform North,A.12.040,"Excavation in trench, depth exceeding 4 m",m3,Z3 Wadi Crossing,G3 Cemented Fill,201,88.74,17836.74,N,DX-00063
PA-00109-08,PA-00109,8,2025-06-02,S-01 Platform North,A.12.040,"Excavation in trench, depth exceeding 4 m",m3,Z3 Wadi Crossing,G2 Firm Sabkha,353,79.23,27968.19,N,DX-00065
PA-00109-09,PA-00109,9,2025-06-02,S-01 Platform North,A.13.010,Disposal of excavated material off site,m3,Z3 Wadi Crossing,,193,20.34,3925.62,N,
PA-00109-10,PA-00109,10,2025-06-11,S-01 Platform North,A.13.020,"Retention of excavated material on site, stockpiled",m3,Z3 Wadi Crossing,,157,7.33,1150.81,N,
PA-00109-11,PA-00109,11,2025-06-08,S-01 Platform North,D.44.010,"Road stud, reflective, bedded in resin",no.,Z3 Wadi Crossing,,8,36.41,291.28,N,
PA-00109-12,PA-00109,12,2025-06-01,S-01 Platform North,D.41.010,"Sub-base, Type 1 granular, 250 mm compacted",m2,Z3 Wadi Crossing,,220,45.47,10003.40,N,CT-00080
PA-00109-13,PA-00109,13,2025-06-08,S-01 Platform North,C.32.010,"Precast manhole, 1200 mm diameter, depth to 3 m",no.,Z3 Wadi Crossing,G3 Cemented Fill,6,2385.26,14311.56,N,
PA-00110-01,PA-00110,1,2025-02-12,S-02 Platform South,A.13.010,Disposal of excavated material off site,m3,Z2 North Spur,,98,20.03,1962.94,N,
PA-00110-02,PA-00110,2,2025-02-20,S-02 Platform South,C.34.010,"Headwall to outfall, precast, bedded",no.,Z2 North Spur,,8,1022.90,8183.20,N,
PA-00110-03,PA-00110,3,2025-02-13,S-02 Platform South,B.24.010,"Waterstop to construction joints, 230 mm",lm,Z2 North Spur,,41,71.44,2929.04,N,
PA-00110-04,PA-00110,4,2025-02-18,S-02 Platform South,A.13.030,Double handling of stockpiled material,m3,Z2 North Spur,,400,10.39,4156.00,N,
PA-00110-05,PA-00110,5,2025-02-16,S-02 Platform South,B.21.040,"Reinforced concrete to walls, C32/40",m3,Z2 North Spur,,241,474.88,114446.08,N,PR-00019
PA-00110-06,PA-00110,6,2025-02-19,S-02 Platform South,C.32.010,"Precast manhole, 1200 mm diameter, depth to 3 m",no.,Z2 North Spur,G1 Loose Sand,4,1853.30,7413.20,N,
PA-00111-01,PA-00111,1,2025-03-22,S-01 Platform North,B.21.040,"Reinforced concrete to walls, C32/40",m3,Z4 Escarpment,,291,774.14,225274.74,N,PR-00039
PA-00111-02,PA-00111,2,2025-03-18,S-01 Platform North,E.52.010,"Joint survey and setting out, chainage band",no.,Z4 Escarpment,,2,478.00,956.00,N,JS-00028
PA-00111-03,PA-00111,3,2025-03-21,S-01 Platform North,E.52.010,"Joint survey and setting out, chainage band",no.,Z4 Escarpment,,4,478.00,1912.00,N,JS-00031
PA-00111-04,PA-00111,4,2025-03-18,S-01 Platform North,A.11.020,"Removal of existing hardstanding, broken out",m2,Z4 Escarpment,G1 Loose Sand,642,14.92,9578.64,N,
PA-00111-05,PA-00111,5,2025-03-21,S-01 Platform North,B.22.030,"Formwork to edges and risers, height to 500 mm",lm,Z4 Escarpment,,116,54.53,6325.48,N,
PA-00111-06,PA-00111,6,2025-03-16,S-01 Platform North,C.34.010,"Headwall to outfall, precast, bedded",no.,Z4 Escarpment,,2,1235.20,2470.40,N,
PA-00111-07,PA-00111,7,2025-03-22,S-01 Platform North,B.22.020,"Formwork to soffits, propped, height to 3.5 m",m2,Z4 Escarpment,,517,117.50,60747.50,N,
PA-00111-08,PA-00111,8,2025-03-18,S-01 Platform North,C.32.020,Gully pot and connection to carrier drain,no.,Z4 Escarpment,,3,367.36,1102.08,N,
PA-00111-09,PA-00111,9,2025-03-20,S-01 Platform North,A.14.030,"Geotextile separation membrane, laid and lapped",m2,Z4 Escarpment,,397,18.69,7419.93,N,
PA-00111-10,PA-00111,10,2025-03-16,S-01 Platform North,C.32.030,"Precast manhole, 1800 mm diameter, depth to 5 m",no.,Z4 Escarpment,G5 Sound Rock,3,6509.57,19528.71,N,PT-00023
PA-00111-11,PA-00111,11,2025-03-20,S-01 Platform North,C.31.040,"Concrete surround to pipe, Class A bedding",lm,Z4 Escarpment,,352,93.57,32936.64,N,
PA-00111-12,PA-00111,12,2025-03-21,S-01 Platform North,E.52.010,"Joint survey and setting out, chainage band",no.,Z4 Escarpment,,4,478.00,1912.00,N,
