invoice_no,contract_ref,contractor,well_name,rig,field,well_class,period_start,period_end,invoice_date,net_amount,vat_amount,invoice_total,adjustment
MDS-00465,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-056,NG-Rig 21,Burqan Deep,Extended Reach,15-Jun-2025,17-Jun-2025,24-Jun-2025,79846.53,11976.98,91823.51,0.00
MDS-00466,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-110,NG-Rig 30,Harran,Extended Reach,15-Jun-2025,19-Jun-2025,02-Jul-2025,114994.22,17249.13,132243.35,0.00
MDS-00467,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-145,NG-Rig 35,Burqan Deep,HPHT,15-Jun-2025,20-Jun-2025,08-Jul-2025,228361.80,34254.27,262616.07,0.00
MDS-00468,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-198,NG-Rig 44,Wadi Sahm,Extended Reach,15-Jun-2025,18-Jun-2025,12-Jul-2025,70015.23,10502.28,80517.51,0.00
MDS-00469,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-092,NG-Rig 26,Wadi Sahm,Standard,16-Jun-2025,21-Jun-2025,15-Jul-2025,93779.23,14066.88,107846.11,0.00
MDS-00470,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-038,NG-Rig 17,Burqan Deep,Standard,17-Jun-2025,19-Jun-2025,02-Jul-2025,106912.61,16036.89,122949.50,0.00
MDS-00471,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-056,NG-Rig 21,Burqan Deep,Extended Reach,18-Jun-2025,20-Jun-2025,20-Jul-2025,34185.13,5127.77,39312.90,0.00
MDS-00472,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-021,NG-Rig 14,Qarn Alam North,Extended Reach,18-Jun-2025,21-Jun-2025,09-Jul-2025,57049.36,8557.40,65606.76,0.00
MDS-00473,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-181,NG-Rig 41,Harran,Standard,18-Jun-2025,22-Jun-2025,07-Jul-2025,110129.12,16519.37,126648.49,0.00
MDS-00474,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-163,NG-Rig 38,Harran,Standard,19-Jun-2025,22-Jun-2025,11-Jul-2025,92442.06,13866.31,106308.37,0.00
MDS-00475,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-005,NG-Rig 11,Qarn Alam North,Standard,19-Jun-2025,21-Jun-2025,05-Jul-2025,77066.84,11560.03,88626.87,0.00
MDS-00476,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-074,NG-Rig 23,Wadi Sahm,Extended Reach,19-Jun-2025,22-Jun-2025,22-Jul-2025,131866.35,19779.95,151646.30,0.00
MDS-00477,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-198,NG-Rig 44,Wadi Sahm,Extended Reach,19-Jun-2025,22-Jun-2025,05-Jul-2025,74842.74,11226.41,86069.15,0.00
MDS-00478,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-214,NG-Rig 47,Qarn Alam North,Standard,19-Jun-2025,23-Jun-2025,11-Jul-2025,151195.24,22679.29,173874.53,0.00
MDS-00479,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-127,NG-Rig 32,Burqan Deep,Standard,19-Jun-2025,23-Jun-2025,07-Jul-2025,70079.79,10511.97,80591.76,0.00
MDS-00480,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-110,NG-Rig 30,Harran,Extended Reach,20-Jun-2025,23-Jun-2025,10-Jul-2025,62261.57,9339.24,71600.81,0.00
MDS-00481,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-038,NG-Rig 17,Burqan Deep,Standard,20-Jun-2025,25-Jun-2025,30-Jun-2025,218205.92,32730.89,250936.81,0.00
MDS-00482,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-056,NG-Rig 21,Burqan Deep,Extended Reach,21-Jun-2025,25-Jun-2025,24-Jul-2025,75769.12,11365.37,87134.49,0.00
MDS-00483,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-145,NG-Rig 35,Burqan Deep,HPHT,21-Jun-2025,24-Jun-2025,10-Jul-2025,122638.93,18395.84,141034.77,0.00
MDS-00484,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-005,NG-Rig 11,Qarn Alam North,Standard,22-Jun-2025,25-Jun-2025,05-Jul-2025,67292.64,10093.90,77386.54,0.00
MDS-00485,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-092,NG-Rig 26,Wadi Sahm,Standard,22-Jun-2025,26-Jun-2025,14-Jul-2025,88552.77,13282.92,101835.69,0.00
MDS-00486,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-021,NG-Rig 14,Qarn Alam North,Extended Reach,22-Jun-2025,25-Jun-2025,25-Jul-2025,58291.84,8743.78,67035.62,0.00
MDS-00487,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-163,NG-Rig 38,Harran,Standard,23-Jun-2025,28-Jun-2025,07-Jul-2025,84153.51,12623.03,96776.54,0.00
MDS-00488,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-074,NG-Rig 23,Wadi Sahm,Extended Reach,23-Jun-2025,26-Jun-2025,30-Jun-2025,144476.11,21671.42,166147.53,0.00
MDS-00489,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-198,NG-Rig 44,Wadi Sahm,Extended Reach,23-Jun-2025,27-Jun-2025,30-Jun-2025,107400.66,16110.10,123510.76,0.00
MDS-00490,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-181,NG-Rig 41,Harran,Standard,23-Jun-2025,26-Jun-2025,29-Jun-2025,61699.58,9254.94,70954.52,0.00
MDS-00491,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-110,NG-Rig 30,Harran,Extended Reach,24-Jun-2025,27-Jun-2025,06-Jul-2025,85347.47,12802.12,98149.59,0.00
MDS-00492,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-127,NG-Rig 32,Burqan Deep,Standard,24-Jun-2025,24-Jun-2025,27-Jun-2025,42938.77,6440.82,49379.59,0.00
MDS-00493,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-145,NG-Rig 35,Burqan Deep,HPHT,25-Jun-2025,30-Jun-2025,12-Jul-2025,243802.38,36570.36,280372.74,0.00
MDS-00494,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-056,NG-Rig 21,Burqan Deep,Extended Reach,26-Jun-2025,29-Jun-2025,25-Jul-2025,91334.60,13700.19,105034.79,0.00
MDS-00495,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-005,NG-Rig 11,Qarn Alam North,Standard,26-Jun-2025,29-Jun-2025,03-Jul-2025,68294.38,10244.16,78538.54,0.00
MDS-00496,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-128,NG-Rig 32,Qarn Alam North,Standard,26-Jun-2025,30-Jun-2025,14-Jul-2025,113982.33,17097.35,131079.68,0.00
MDS-00497,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-021,NG-Rig 14,Qarn Alam North,Extended Reach,26-Jun-2025,29-Jun-2025,04-Jul-2025,90005.26,13500.79,103506.05,0.00
MDS-00498,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-038,NG-Rig 17,Burqan Deep,Standard,26-Jun-2025,29-Jun-2025,27-Jul-2025,60618.08,9092.71,69710.79,0.00
MDS-00499,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-074,NG-Rig 23,Wadi Sahm,Extended Reach,27-Jun-2025,30-Jun-2025,25-Jul-2025,168969.21,25345.38,194314.59,0.00
MDS-00500,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-092,NG-Rig 26,Wadi Sahm,Standard,27-Jun-2025,30-Jun-2025,28-Jul-2025,74725.97,11208.90,85934.87,0.00
MDS-00501,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-181,NG-Rig 41,Harran,Standard,27-Jun-2025,02-Jul-2025,28-Jul-2025,102863.21,15429.48,118292.69,0.00
MDS-00502,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-110,NG-Rig 30,Harran,Extended Reach,28-Jun-2025,01-Jul-2025,29-Jul-2025,133040.02,19956.00,152996.02,0.00
MDS-00503,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-215,NG-Rig 47,Wadi Sahm,Standard,28-Jun-2025,03-Jul-2025,20-Jul-2025,127777.58,19166.64,146944.22,0.00
MDS-00504,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-198,NG-Rig 44,Wadi Sahm,Extended Reach,28-Jun-2025,01-Jul-2025,08-Jul-2025,74716.12,11207.42,85923.54,0.00
MDS-00505,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-163,NG-Rig 38,Harran,Standard,29-Jun-2025,01-Jul-2025,04-Jul-2025,44338.33,6650.75,50989.08,0.00
MDS-00506,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-056,NG-Rig 21,Burqan Deep,Extended Reach,30-Jun-2025,03-Jul-2025,22-Jul-2025,114697.61,17204.64,131902.25,0.00
MDS-00507,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-005,NG-Rig 11,Qarn Alam North,Standard,30-Jun-2025,02-Jul-2025,17-Jul-2025,81397.63,12209.64,93607.27,0.00
MDS-00508,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-038,NG-Rig 17,Burqan Deep,Standard,30-Jun-2025,05-Jul-2025,24-Jul-2025,117234.02,17585.10,134819.12,0.00
MDS-00509,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-145,NG-Rig 35,Burqan Deep,HPHT,01-Jul-2025,06-Jul-2025,16-Jul-2025,257502.46,38625.37,296127.83,0.00
MDS-00510,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-074,NG-Rig 23,Wadi Sahm,Extended Reach,01-Jul-2025,05-Jul-2025,21-Jul-2025,91013.89,13652.08,104665.97,0.00
MDS-00511,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-092,NG-Rig 26,Wadi Sahm,Standard,01-Jul-2025,06-Jul-2025,05-Aug-2025,140033.38,21005.01,161038.39,0.00
MDS-00512,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-128,NG-Rig 32,Qarn Alam North,Standard,01-Jul-2025,06-Jul-2025,30-Jul-2025,85726.54,12858.98,98585.52,0.00
MDS-00513,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-110,NG-Rig 30,Harran,Extended Reach,02-Jul-2025,05-Jul-2025,10-Jul-2025,149928.85,22489.33,172418.18,0.00
MDS-00514,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-163,NG-Rig 38,Harran,Standard,02-Jul-2025,06-Jul-2025,20-Jul-2025,145483.55,21822.53,167306.08,0.00
MDS-00515,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-198,NG-Rig 44,Wadi Sahm,Extended Reach,02-Jul-2025,06-Jul-2025,11-Jul-2025,1252988.48,187948.27,1440936.75,0.00
MDS-00516,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-022,NG-Rig 14,Wadi Sahm,Standard,02-Jul-2025,06-Jul-2025,03-Aug-2025,112025.42,16803.81,128829.23,0.00
MDS-00517,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-005,NG-Rig 11,Qarn Alam North,Standard,03-Jul-2025,07-Jul-2025,01-Aug-2025,123045.24,18456.79,141502.03,0.00
MDS-00518,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-181,NG-Rig 41,Harran,Standard,03-Jul-2025,07-Jul-2025,27-Jul-2025,99984.75,14997.71,114982.46,0.00
MDS-00519,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-056,NG-Rig 21,Burqan Deep,Extended Reach,04-Jul-2025,06-Jul-2025,12-Jul-2025,86189.23,12928.38,99117.61,0.00
MDS-00520,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-215,NG-Rig 47,Wadi Sahm,Standard,04-Jul-2025,09-Jul-2025,22-Jul-2025,110343.30,16551.50,126894.80,0.00
MDS-00521,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-110,NG-Rig 30,Harran,Extended Reach,06-Jul-2025,09-Jul-2025,04-Aug-2025,130323.12,19548.47,149871.59,0.00
MDS-00522,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-074,NG-Rig 23,Wadi Sahm,Extended Reach,06-Jul-2025,09-Jul-2025,03-Aug-2025,90848.65,13627.30,104475.95,0.00
MDS-00523,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-056,NG-Rig 21,Burqan Deep,Extended Reach,07-Jul-2025,09-Jul-2025,21-Jul-2025,106445.93,15966.89,122412.82,0.00
MDS-00524,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-163,NG-Rig 38,Harran,Standard,07-Jul-2025,11-Jul-2025,16-Jul-2025,161395.30,24209.30,185604.60,0.00
MDS-00525,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-145,NG-Rig 35,Burqan Deep,HPHT,07-Jul-2025,07-Jul-2025,31-Jul-2025,53163.91,7974.59,61138.50,0.00
MDS-00526,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-092,NG-Rig 26,Wadi Sahm,Standard,07-Jul-2025,10-Jul-2025,01-Aug-2025,108144.11,16221.62,124365.73,0.00
MDS-00527,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-128,NG-Rig 32,Qarn Alam North,Standard,07-Jul-2025,12-Jul-2025,23-Jul-2025,143835.54,21575.33,165410.87,0.00
MDS-00528,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-198,NG-Rig 44,Wadi Sahm,Extended Reach,07-Jul-2025,09-Jul-2025,13-Jul-2025,85992.64,12898.90,98891.54,0.00
MDS-00529,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-022,NG-Rig 14,Wadi Sahm,Standard,07-Jul-2025,11-Jul-2025,18-Jul-2025,80826.55,12123.98,92950.53,0.00
MDS-00530,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-039,NG-Rig 17,Wadi Sahm,Extended Reach,08-Jul-2025,10-Jul-2025,14-Jul-2025,80255.41,12038.31,92293.72,0.00
MDS-00531,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-005,NG-Rig 11,Qarn Alam North,Standard,08-Jul-2025,11-Jul-2025,22-Jul-2025,110049.41,16507.41,126556.82,0.00
MDS-00532,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-181,NG-Rig 41,Harran,Standard,08-Jul-2025,12-Jul-2025,10-Aug-2025,128066.19,19209.93,147276.12,0.00
MDS-00533,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-056,NG-Rig 21,Burqan Deep,Extended Reach,10-Jul-2025,13-Jul-2025,02-Aug-2025,125004.00,18750.60,143754.60,0.00
MDS-00534,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-110,NG-Rig 30,Harran,Extended Reach,10-Jul-2025,14-Jul-2025,25-Jul-2025,206074.71,30911.21,236985.92,0.00
MDS-00535,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-215,NG-Rig 47,Wadi Sahm,Standard,10-Jul-2025,15-Jul-2025,11-Aug-2025,206487.40,30973.11,237460.51,0.00
MDS-00536,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-198,NG-Rig 44,Wadi Sahm,Extended Reach,10-Jul-2025,14-Jul-2025,30-Jul-2025,153696.56,23054.48,176751.04,0.00
MDS-00537,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-039,NG-Rig 17,Wadi Sahm,Extended Reach,11-Jul-2025,14-Jul-2025,29-Aug-2025,61337.79,9200.67,70538.46,0.00
MDS-00538,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-092,NG-Rig 26,Wadi Sahm,Standard,11-Jul-2025,14-Jul-2025,12-Aug-2025,120982.94,18147.44,139130.38,0.00
MDS-00539,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-163,NG-Rig 38,Harran,Standard,12-Jul-2025,16-Jul-2025,08-Aug-2025,178167.39,26725.11,204892.50,0.00
MDS-00540,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-146,NG-Rig 35,Wadi Sahm,Extended Reach,12-Jul-2025,14-Jul-2025,17-Jul-2025,71281.61,10692.24,81973.85,0.00
MDS-00541,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-005,NG-Rig 11,Qarn Alam North,Standard,12-Jul-2025,14-Jul-2025,22-Jul-2025,64353.87,9653.08,74006.95,0.00
MDS-00542,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-022,NG-Rig 14,Wadi Sahm,Standard,12-Jul-2025,14-Jul-2025,27-Jul-2025,128246.05,19236.91,147482.96,0.00
MDS-00543,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-075,NG-Rig 23,Qarn Alam North,Extended Reach,13-Jul-2025,16-Jul-2025,10-Aug-2025,95507.42,14326.11,109833.53,0.00
MDS-00544,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-128,NG-Rig 32,Qarn Alam North,Standard,13-Jul-2025,17-Jul-2025,24-Jul-2025,120014.59,18002.19,138016.78,0.00
MDS-00545,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-181,NG-Rig 41,Harran,Standard,13-Jul-2025,15-Jul-2025,22-Jul-2025,72966.44,10944.97,83911.41,0.00
MDS-00546,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-056,NG-Rig 21,Burqan Deep,Extended Reach,14-Jul-2025,16-Jul-2025,06-Aug-2025,103596.41,15539.46,119135.87,0.00
MDS-00547,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-039,NG-Rig 17,Wadi Sahm,Extended Reach,15-Jul-2025,18-Jul-2025,04-Aug-2025,58844.72,8826.71,67671.43,0.00
MDS-00548,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-146,NG-Rig 35,Wadi Sahm,Extended Reach,15-Jul-2025,19-Jul-2025,10-Aug-2025,89583.76,13437.56,103021.32,0.00
MDS-00549,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-005,NG-Rig 11,Qarn Alam North,Standard,15-Jul-2025,20-Jul-2025,14-Aug-2025,148882.72,22332.41,171215.13,0.00
MDS-00550,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-198,NG-Rig 44,Wadi Sahm,Extended Reach,15-Jul-2025,19-Jul-2025,18-Aug-2025,121057.03,18158.55,139215.58,0.00
MDS-00551,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-022,NG-Rig 14,Wadi Sahm,Standard,15-Jul-2025,20-Jul-2025,19-Aug-2025,200447.86,30067.18,232901.95,0.00
MDS-00552,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-215,NG-Rig 47,Wadi Sahm,Standard,16-Jul-2025,18-Jul-2025,16-Aug-2025,94632.25,14194.84,108827.09,0.00
MDS-00553,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-181,NG-Rig 41,Harran,Standard,16-Jul-2025,18-Jul-2025,25-Jul-2025,80945.52,12141.83,93087.35,0.00
MDS-00554,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-163,NG-Rig 38,Harran,Standard,17-Jul-2025,22-Jul-2025,09-Aug-2025,215495.91,32324.39,247820.30,0.00
MDS-00555,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-075,NG-Rig 23,Qarn Alam North,Extended Reach,17-Jul-2025,21-Jul-2025,30-Jul-2025,73614.55,11042.18,84656.73,0.00
MDS-00556,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-111,NG-Rig 30,Qarn Alam North,Standard,18-Jul-2025,23-Jul-2025,15-Aug-2025,118331.79,17749.77,136081.56,0.00
MDS-00557,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-128,NG-Rig 32,Qarn Alam North,Standard,18-Jul-2025,20-Jul-2025,07-Aug-2025,67905.99,10185.90,78091.89,0.00
MDS-00558,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-093,NG-Rig 26,Qarn Alam North,Extended Reach,18-Jul-2025,23-Jul-2025,06-Aug-2025,127867.95,19180.19,147048.14,0.00
MDS-00559,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-039,NG-Rig 17,Wadi Sahm,Extended Reach,19-Jul-2025,22-Jul-2025,08-Aug-2025,108899.99,16335.00,125234.99,0.00
MDS-00560,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-215,NG-Rig 47,Wadi Sahm,Standard,19-Jul-2025,23-Jul-2025,28-Jul-2025,207118.75,31067.81,238186.56,0.00
MDS-00561,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-181,NG-Rig 41,Harran,Standard,19-Jul-2025,22-Jul-2025,09-Aug-2025,104810.29,15721.54,120531.83,0.00
MDS-00562,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-057,NG-Rig 21,Burqan Deep,Standard,20-Jul-2025,24-Jul-2025,01-Aug-2025,110987.12,16648.07,127635.19,0.00
MDS-00563,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-146,NG-Rig 35,Wadi Sahm,Extended Reach,20-Jul-2025,24-Jul-2025,02-Aug-2025,123405.69,18510.85,141916.54,0.00
MDS-00564,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-198,NG-Rig 44,Wadi Sahm,Extended Reach,20-Jul-2025,22-Jul-2025,01-Aug-2025,46657.24,6998.59,53655.83,0.00
MDS-00565,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-005,NG-Rig 11,Qarn Alam North,Standard,21-Jul-2025,26-Jul-2025,11-Aug-2025,128702.90,19305.44,148008.34,0.00
MDS-00566,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-128,NG-Rig 32,Qarn Alam North,Standard,21-Jul-2025,25-Jul-2025,23-Aug-2025,124377.80,18656.67,143034.47,0.00
MDS-00567,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-022,NG-Rig 14,Wadi Sahm,Standard,21-Jul-2025,23-Jul-2025,07-Aug-2025,122014.95,18302.24,140317.19,0.00
MDS-00568,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-075,NG-Rig 23,Qarn Alam North,Extended Reach,22-Jul-2025,27-Jul-2025,31-Jul-2025,173619.70,26042.96,199662.66,0.00
MDS-00569,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-039,NG-Rig 17,Wadi Sahm,Extended Reach,23-Jul-2025,25-Jul-2025,10-Aug-2025,85038.32,12755.75,97794.07,0.00
MDS-00570,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-163,NG-Rig 38,Harran,Standard,23-Jul-2025,26-Jul-2025,02-Aug-2025,146346.62,21951.99,168298.61,0.00
MDS-00571,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-198,NG-Rig 44,Wadi Sahm,Extended Reach,23-Jul-2025,26-Jul-2025,29-Jul-2025,88857.90,13328.68,102186.58,0.00
MDS-00572,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-181,NG-Rig 41,Harran,Standard,23-Jul-2025,27-Jul-2025,23-Aug-2025,86872.21,13030.83,99903.04,0.00
MDS-00573,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-215,NG-Rig 47,Wadi Sahm,Standard,24-Jul-2025,27-Jul-2025,12-Aug-2025,156004.13,23400.62,179404.75,0.00
MDS-00574,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-111,NG-Rig 30,Qarn Alam North,Standard,24-Jul-2025,27-Jul-2025,17-Aug-2025,431729.57,64759.44,496489.01,0.00
MDS-00575,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-022,NG-Rig 14,Wadi Sahm,Standard,24-Jul-2025,27-Jul-2025,11-Aug-2025,149271.25,22390.69,171661.94,0.00
MDS-00576,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-093,NG-Rig 26,Qarn Alam North,Extended Reach,24-Jul-2025,29-Jul-2025,10-Aug-2025,106163.09,15924.46,122087.55,0.00
MDS-00577,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-057,NG-Rig 21,Burqan Deep,Standard,25-Jul-2025,28-Jul-2025,31-Jul-2025,59451.35,8917.70,68369.05,0.00
MDS-00578,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-146,NG-Rig 35,Wadi Sahm,Extended Reach,25-Jul-2025,29-Jul-2025,01-Aug-2025,167940.41,25191.06,193131.47,0.00
MDS-00579,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-039,NG-Rig 17,Wadi Sahm,Extended Reach,26-Jul-2025,28-Jul-2025,15-Aug-2025,70748.67,10612.30,81360.97,0.00
MDS-00580,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-128,NG-Rig 32,Qarn Alam North,Standard,26-Jul-2025,29-Jul-2025,16-Aug-2025,104018.19,15602.73,119620.92,0.00
MDS-00581,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-163,NG-Rig 38,Harran,Standard,27-Jul-2025,29-Jul-2025,13-Aug-2025,117552.76,17632.91,135185.67,0.00
MDS-00582,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-005,NG-Rig 11,Qarn Alam North,Standard,27-Jul-2025,01-Aug-2025,30-Aug-2025,94383.93,14157.59,108541.52,0.00
MDS-00583,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-075,NG-Rig 23,Qarn Alam North,Extended Reach,28-Jul-2025,02-Aug-2025,25-Aug-2025,227093.16,34063.97,261157.13,0.00
MDS-00584,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-215,NG-Rig 47,Wadi Sahm,Standard,28-Jul-2025,29-Jul-2025,05-Aug-2025,75569.49,11335.42,86904.91,0.00
MDS-00585,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-111,NG-Rig 30,Qarn Alam North,Standard,28-Jul-2025,02-Aug-2025,30-Aug-2025,115870.74,17380.61,133251.35,0.00
MDS-00586,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-022,NG-Rig 14,Wadi Sahm,Standard,28-Jul-2025,01-Aug-2025,16-Aug-2025,191889.26,28783.39,220672.65,0.00
MDS-00587,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-181,NG-Rig 41,Harran,Standard,28-Jul-2025,30-Jul-2025,13-Aug-2025,45486.30,6822.94,52309.24,0.00
MDS-00588,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-039,NG-Rig 17,Wadi Sahm,Extended Reach,29-Jul-2025,31-Jul-2025,10-Aug-2025,77004.41,11550.66,88555.07,0.00
MDS-00589,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-057,NG-Rig 21,Burqan Deep,Standard,29-Jul-2025,31-Jul-2025,21-Aug-2025,108935.40,16340.31,125275.71,0.00
MDS-00590,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-146,NG-Rig 35,Wadi Sahm,Extended Reach,30-Jul-2025,04-Aug-2025,21-Aug-2025,221012.84,33151.93,254164.77,0.00
MDS-00591,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-128,NG-Rig 32,Qarn Alam North,Standard,30-Jul-2025,04-Aug-2025,27-Aug-2025,100990.73,15148.61,116139.34,0.00
MDS-00592,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-093,NG-Rig 26,Qarn Alam North,Extended Reach,30-Jul-2025,02-Aug-2025,26-Aug-2025,85198.24,12779.74,97977.98,0.00
