line_ref,invoice_no,line_no,service_date,well_name,service_code,description,unit,hole_section,day_status,depth_from_m,depth_to_m,quantity,unit_rate,amount,report_ref
MDS-00348-066,MDS-00348,66,09-May-2025,NGP-BD-020,MW-320,Pressure while drilling module,day,"8-1/2""",Operating,,,1,1033.04,1033.04,DDR-020-20250509
MDS-00348-067,MDS-00348,67,09-May-2025,NGP-BD-020,MW-330,Real-time data transmission,day,"8-1/2""",Operating,,,1,309.75,309.75,DDR-020-20250509
MDS-00348-068,MDS-00348,68,09-May-2025,NGP-BD-020,PD-201,Drilling optimisation engineer,person-day,"8-1/2""",Operating,,,1,2094.85,2094.85,DDR-020-20250509
MDS-00348-069,MDS-00348,69,09-May-2025,NGP-BD-020,RM-530,Back-reaming while tripping,hour,"8-1/2""",Operating,,,6,264.55,1587.30,DDR-020-20250509
MDS-00349-001,MDS-00349,1,05-May-2025,NGP-HA-197,DD-101,"Directional driller, 24-hour coverage",person-day,"17-1/2""",Operating,,,2,1847.35,3694.70,DDR-197-20250505
MDS-00349-002,MDS-00349,2,05-May-2025,NGP-HA-197,DD-102,"Directional coordinator, office based",day,"17-1/2""",Operating,,,1,948.60,948.60,DDR-197-20250505
MDS-00349-003,MDS-00349,3,05-May-2025,NGP-HA-197,DD-110,Positive displacement motor rental,day,"17-1/2""",Operating,,,1,1623.32,1623.32,DDR-197-20250505
MDS-00349-004,MDS-00349,4,05-May-2025,NGP-HA-197,DD-111,Motor redress and inspection,run,"17-1/2""",Operating,,,1,3589.45,3589.45,DDR-197-20250505
MDS-00349-005,MDS-00349,5,05-May-2025,NGP-HA-197,HC-601,Hole cleaning circulating sub,day,"17-1/2""",Operating,,,1,689.35,689.35,DDR-197-20250505
MDS-00349-006,MDS-00349,6,05-May-2025,NGP-HA-197,HC-610,Wiper trip supervision,trip,"17-1/2""",Operating,,,1,1947.15,1947.15,DDR-197-20250505
MDS-00349-007,MDS-00349,7,05-May-2025,NGP-HA-197,HC-620,Drilling jar rental,day,"17-1/2""",Operating,,,1,556.38,556.38,DDR-197-20250505
MDS-00349-008,MDS-00349,8,05-May-2025,NGP-HA-197,MW-301,MWD engineer,person-day,"17-1/2""",Operating,,,2,1646.55,3293.10,DDR-197-20250505
MDS-00349-009,MDS-00349,9,05-May-2025,NGP-HA-197,MW-310,MWD directional and gamma tool,day,"17-1/2""",Operating,,,1,3115.17,3115.17,DDR-197-20250505
MDS-00349-010,MDS-00349,10,05-May-2025,NGP-HA-197,MW-330,Real-time data transmission,day,"17-1/2""",Operating,,,1,309.75,309.75,DDR-197-20250505
MDS-00349-011,MDS-00349,11,05-May-2025,NGP-HA-197,RM-520,Roller reamer and stabiliser rental,day,"17-1/2""",Operating,,,1,419.85,419.85,DDR-197-20250505
MDS-00349-012,MDS-00349,12,05-May-2025,NGP-HA-197,RM-530,Back-reaming while tripping,hour,"17-1/2""",Operating,,,5,264.55,1322.75,DDR-197-20250505
MDS-00349-013,MDS-00349,13,06-May-2025,NGP-HA-197,DD-101,"Directional driller, 24-hour coverage",person-day,"12-1/4""",Operating,,,2,1847.35,3694.70,DDR-197-20250506
MDS-00349-014,MDS-00349,14,06-May-2025,NGP-HA-197,DD-102,"Directional coordinator, office based",day,"12-1/4""",Operating,,,1,948.60,948.60,DDR-197-20250506
MDS-00349-015,MDS-00349,15,06-May-2025,NGP-HA-197,DD-120,"Rotary steerable system, circulating",hour,"12-1/4""",Operating,,,13,451.38,5867.94,DDR-197-20250506
MDS-00349-016,MDS-00349,16,06-May-2025,NGP-HA-197,HC-620,Drilling jar rental,day,"12-1/4""",Operating,,,1,556.38,556.38,DDR-197-20250506
MDS-00349-017,MDS-00349,17,06-May-2025,NGP-HA-197,HC-640,Cuttings bed monitoring,day,"12-1/4""",Operating,,,1,719.55,719.55,DDR-197-20250506
MDS-00349-018,MDS-00349,18,06-May-2025,NGP-HA-197,MW-301,MWD engineer,person-day,"12-1/4""",Operating,,,2,1646.55,3293.10,DDR-197-20250506
MDS-00349-019,MDS-00349,19,06-May-2025,NGP-HA-197,MW-310,MWD directional and gamma tool,day,"12-1/4""",Operating,,,1,2720.68,2720.68,DDR-197-20250506
MDS-00349-020,MDS-00349,20,06-May-2025,NGP-HA-197,MW-320,Pressure while drilling module,day,"12-1/4""",Operating,,,1,916.09,916.09,DDR-197-20250506
MDS-00349-021,MDS-00349,21,06-May-2025,NGP-HA-197,MW-330,Real-time data transmission,day,"12-1/4""",Operating,,,1,309.75,309.75,DDR-197-20250506
MDS-00349-022,MDS-00349,22,06-May-2025,NGP-HA-197,PD-201,Drilling optimisation engineer,person-day,"12-1/4""",Operating,,,1,2094.85,2094.85,DDR-197-20250506
MDS-00349-023,MDS-00349,23,06-May-2025,NGP-HA-197,PD-210,Performance drilling footage,metre,"12-1/4""",Operating,1887,2046,159,58.15,9245.85,DDR-197-20250506
MDS-00349-024,MDS-00349,24,06-May-2025,NGP-HA-197,PD-220,Downhole vibration mitigation tool,day,"12-1/4""",Operating,,,1,1148.35,1148.35,DDR-197-20250506
MDS-00349-025,MDS-00349,25,06-May-2025,NGP-HA-197,PD-230,Drilling dynamics memory sub,day,"12-1/4""",Operating,,,1,639.15,639.15,DDR-197-20250506
MDS-00349-026,MDS-00349,26,06-May-2025,NGP-HA-197,RM-510,"Hydraulic underreaming, reamed",metre,"12-1/4""",Operating,,,159,38.45,6113.55,DDR-197-20250506
MDS-00349-027,MDS-00349,27,06-May-2025,NGP-HA-197,RM-511,Underreamer rental,day,"12-1/4""",Operating,,,1,1379.15,1379.15,DDR-197-20250506
MDS-00349-028,MDS-00349,28,07-May-2025,NGP-HA-197,DD-101,"Directional driller, 24-hour coverage",person-day,"12-1/4""",Standby,,,2,1477.88,2955.76,DDR-197-20250507
MDS-00349-029,MDS-00349,29,07-May-2025,NGP-HA-197,DD-102,"Directional coordinator, office based",day,"12-1/4""",Standby,,,1,948.60,948.60,DDR-197-20250507
MDS-00349-030,MDS-00349,30,07-May-2025,NGP-HA-197,DD-121,Rotary steerable system on standby,day,"12-1/4""",Standby,,,1,2893.65,2893.65,DDR-197-20250507
MDS-00349-031,MDS-00349,31,07-May-2025,NGP-HA-197,HC-620,Drilling jar rental,day,"12-1/4""",Standby,,,1,278.19,278.19,DDR-197-20250507
MDS-00349-032,MDS-00349,32,07-May-2025,NGP-HA-197,MW-301,MWD engineer,person-day,"12-1/4""",Standby,,,2,1317.24,2634.48,DDR-197-20250507
MDS-00349-033,MDS-00349,33,07-May-2025,NGP-HA-197,MW-310,MWD directional and gamma tool,day,"12-1/4""",Standby,,,1,1360.34,1360.34,DDR-197-20250507
MDS-00349-034,MDS-00349,34,07-May-2025,NGP-HA-197,MW-320,Pressure while drilling module,day,"12-1/4""",Standby,,,1,458.04,458.04,DDR-197-20250507
MDS-00349-035,MDS-00349,35,07-May-2025,NGP-HA-197,MW-330,Real-time data transmission,day,"12-1/4""",Standby,,,1,309.75,309.75,DDR-197-20250507
MDS-00349-036,MDS-00349,36,07-May-2025,NGP-HA-197,PD-201,Drilling optimisation engineer,person-day,"12-1/4""",Standby,,,1,1675.88,1675.88,DDR-197-20250507
MDS-00349-037,MDS-00349,37,07-May-2025,NGP-HA-197,PD-220,Downhole vibration mitigation tool,day,"12-1/4""",Standby,,,1,574.18,574.18,DDR-197-20250507
MDS-00349-038,MDS-00349,38,07-May-2025,NGP-HA-197,PD-230,Drilling dynamics memory sub,day,"12-1/4""",Standby,,,1,319.58,319.58,DDR-197-20250507
MDS-00349-039,MDS-00349,39,07-May-2025,NGP-HA-197,RM-511,Underreamer rental,day,"12-1/4""",Standby,,,1,689.58,689.58,DDR-197-20250507
MDS-00349-040,MDS-00349,40,08-May-2025,NGP-HA-197,DD-101,"Directional driller, 24-hour coverage",person-day,"12-1/4""",Operating,,,2,1847.35,3694.70,DDR-197-20250508
MDS-00349-041,MDS-00349,41,08-May-2025,NGP-HA-197,DD-102,"Directional coordinator, office based",day,"12-1/4""",Operating,,,1,948.60,948.60,DDR-197-20250508
MDS-00349-042,MDS-00349,42,08-May-2025,NGP-HA-197,DD-120,"Rotary steerable system, circulating",hour,"12-1/4""",Operating,,,15,451.38,6770.70,DDR-197-20250508
MDS-00349-043,MDS-00349,43,08-May-2025,NGP-HA-197,HC-620,Drilling jar rental,day,"12-1/4""",Operating,,,1,556.38,556.38,DDR-197-20250508
MDS-00349-044,MDS-00349,44,08-May-2025,NGP-HA-197,HC-640,Cuttings bed monitoring,day,"12-1/4""",Operating,,,1,719.55,719.55,DDR-197-20250508
MDS-00349-045,MDS-00349,45,08-May-2025,NGP-HA-197,MW-301,MWD engineer,person-day,"12-1/4""",Operating,,,2,1646.55,3293.10,DDR-197-20250508
MDS-00349-046,MDS-00349,46,08-May-2025,NGP-HA-197,MW-310,MWD directional and gamma tool,day,"12-1/4""",Operating,,,1,2720.68,2720.68,DDR-197-20250508
MDS-00349-047,MDS-00349,47,08-May-2025,NGP-HA-197,MW-320,Pressure while drilling module,day,"12-1/4""",Operating,,,1,916.09,916.09,DDR-197-20250508
MDS-00349-048,MDS-00349,48,08-May-2025,NGP-HA-197,MW-330,Real-time data transmission,day,"12-1/4""",Operating,,,1,309.75,309.75,DDR-197-20250508
MDS-00349-049,MDS-00349,49,08-May-2025,NGP-HA-197,PD-201,Drilling optimisation engineer,person-day,"12-1/4""",Operating,,,1,2094.85,2094.85,DDR-197-20250508
MDS-00349-050,MDS-00349,50,08-May-2025,NGP-HA-197,PD-210,Performance drilling footage,metre,"12-1/4""",Operating,2046,2196,150,58.15,8722.50,DDR-197-20250508
MDS-00349-051,MDS-00349,51,08-May-2025,NGP-HA-197,PD-220,Downhole vibration mitigation tool,day,"12-1/4""",Operating,,,1,1148.35,1148.35,DDR-197-20250508
MDS-00349-052,MDS-00349,52,08-May-2025,NGP-HA-197,PD-230,Drilling dynamics memory sub,day,"12-1/4""",Operating,,,1,639.15,639.15,DDR-197-20250508
MDS-00349-053,MDS-00349,53,08-May-2025,NGP-HA-197,RM-510,"Hydraulic underreaming, reamed",metre,"12-1/4""",Operating,,,150,38.45,5767.50,DDR-197-20250508
MDS-00349-054,MDS-00349,54,08-May-2025,NGP-HA-197,RM-511,Underreamer rental,day,"12-1/4""",Operating,,,1,1379.15,1379.15,DDR-197-20250508
MDS-00349-055,MDS-00349,55,09-May-2025,NGP-HA-197,DD-101,"Directional driller, 24-hour coverage",person-day,"12-1/4""",Operating,,,2,1847.35,3694.70,DDR-197-20250509
MDS-00349-056,MDS-00349,56,09-May-2025,NGP-HA-197,DD-102,"Directional coordinator, office based",day,"12-1/4""",Operating,,,1,948.60,948.60,DDR-197-20250509
MDS-00349-057,MDS-00349,57,09-May-2025,NGP-HA-197,DD-120,"Rotary steerable system, circulating",hour,"12-1/4""",Operating,,,16,451.38,7222.08,DDR-197-20250509
MDS-00349-058,MDS-00349,58,09-May-2025,NGP-HA-197,HC-620,Drilling jar rental,day,"12-1/4""",Operating,,,1,556.38,556.38,DDR-197-20250509
MDS-00349-059,MDS-00349,59,09-May-2025,NGP-HA-197,HC-640,Cuttings bed monitoring,day,"12-1/4""",Operating,,,1,719.55,719.55,DDR-197-20250509
MDS-00349-060,MDS-00349,60,09-May-2025,NGP-HA-197,MW-301,MWD engineer,person-day,"12-1/4""",Operating,,,2,1646.55,3293.10,DDR-197-20250509
MDS-00349-061,MDS-00349,61,09-May-2025,NGP-HA-197,MW-310,MWD directional and gamma tool,day,"12-1/4""",Operating,,,1,2720.68,2720.68,DDR-197-20250509
MDS-00349-062,MDS-00349,62,09-May-2025,NGP-HA-197,MW-320,Pressure while drilling module,day,"12-1/4""",Operating,,,1,916.09,916.09,DDR-197-20250509
MDS-00349-063,MDS-00349,63,09-May-2025,NGP-HA-197,MW-330,Real-time data transmission,day,"12-1/4""",Operating,,,1,309.75,309.75,DDR-197-20250509
MDS-00349-064,MDS-00349,64,09-May-2025,NGP-HA-197,PD-201,Drilling optimisation engineer,person-day,"12-1/4""",Operating,,,1,2094.85,2094.85,DDR-197-20250509
MDS-00349-065,MDS-00349,65,09-May-2025,NGP-HA-197,PD-210,Performance drilling footage,metre,"12-1/4""",Operating,2196,2328,132,58.15,7675.80,DDR-197-20250509
MDS-00349-066,MDS-00349,66,09-May-2025,NGP-HA-197,PD-220,Downhole vibration mitigation tool,day,"12-1/4""",Operating,,,1,1148.35,1148.35,DDR-197-20250509
MDS-00349-067,MDS-00349,67,09-May-2025,NGP-HA-197,PD-230,Drilling dynamics memory sub,day,"12-1/4""",Operating,,,1,639.15,639.15,DDR-197-20250509
MDS-00349-068,MDS-00349,68,09-May-2025,NGP-HA-197,RM-510,"Hydraulic underreaming, reamed",metre,"12-1/4""",Operating,,,132,38.45,5075.40,DDR-197-20250509
MDS-00349-069,MDS-00349,69,09-May-2025,NGP-HA-197,RM-511,Underreamer rental,day,"12-1/4""",Operating,,,1,1379.15,1379.15,DDR-197-20250509
MDS-00350-001,MDS-00350,1,05-May-2025,NGP-HA-213,DD-101,"Directional driller, 24-hour coverage",person-day,"8-1/2""",Operating,,,2,1847.35,3694.70,DDR-213-20250505
MDS-00350-002,MDS-00350,2,05-May-2025,NGP-HA-213,DD-102,"Directional coordinator, office based",day,"8-1/2""",Operating,,,1,948.60,948.60,DDR-213-20250505
MDS-00350-003,MDS-00350,3,05-May-2025,NGP-HA-213,DD-120,"Rotary steerable system, circulating",hour,"8-1/2""",Operating,,,18,481.00,8658.00,DDR-213-20250505
MDS-00350-004,MDS-00350,4,05-May-2025,NGP-HA-213,HC-620,Drilling jar rental,day,"8-1/2""",Operating,,,1,556.38,556.38,DDR-213-20250505
MDS-00350-005,MDS-00350,5,05-May-2025,NGP-HA-213,LW-401,LWD engineer,person-day,"8-1/2""",Operating,,,1,1898.45,1898.45,DDR-213-20250505
MDS-00350-006,MDS-00350,6,05-May-2025,NGP-HA-213,LW-410,"LWD resistivity, logged",metre,"8-1/2""",Operating,,,133,15.07,2004.31,DDR-213-20250505
MDS-00350-007,MDS-00350,7,05-May-2025,NGP-HA-213,LW-411,"LWD density and neutron, logged",metre,"8-1/2""",Operating,,,133,22.30,2965.90,DDR-213-20250505
MDS-00350-008,MDS-00350,8,05-May-2025,NGP-HA-213,LW-412,"LWD sonic, logged",metre,"8-1/2""",Operating,,,133,17.61,2342.13,DDR-213-20250505
MDS-00350-009,MDS-00350,9,05-May-2025,NGP-HA-213,MW-301,MWD engineer,person-day,"8-1/2""",Operating,,,2,1646.55,3293.10,DDR-213-20250505
MDS-00350-010,MDS-00350,10,05-May-2025,NGP-HA-213,MW-310,MWD directional and gamma tool,day,"8-1/2""",Operating,,,1,2899.26,2899.26,DDR-213-20250505
MDS-00350-011,MDS-00350,11,05-May-2025,NGP-HA-213,MW-320,Pressure while drilling module,day,"8-1/2""",Operating,,,1,1033.04,1033.04,DDR-213-20250505
MDS-00350-012,MDS-00350,12,05-May-2025,NGP-HA-213,MW-330,Real-time data transmission,day,"8-1/2""",Operating,,,1,309.75,309.75,DDR-213-20250505
MDS-00350-013,MDS-00350,13,06-May-2025,NGP-HA-213,DD-101,"Directional driller, 24-hour coverage",person-day,"8-1/2""",Operating,,,2,1847.35,3694.70,DDR-213-20250506
MDS-00350-014,MDS-00350,14,06-May-2025,NGP-HA-213,DD-102,"Directional coordinator, office based",day,"8-1/2""",Operating,,,1,948.60,948.60,DDR-213-20250506
MDS-00350-015,MDS-00350,15,06-May-2025,NGP-HA-213,DD-120,"Rotary steerable system, circulating",hour,"8-1/2""",Operating,,,15,481.00,7215.00,DDR-213-20250506
MDS-00350-016,MDS-00350,16,06-May-2025,NGP-HA-213,HC-620,Drilling jar rental,day,"8-1/2""",Operating,,,1,556.38,556.38,DDR-213-20250506
MDS-00350-017,MDS-00350,17,06-May-2025,NGP-HA-213,LW-401,LWD engineer,person-day,"8-1/2""",Operating,,,1,1898.45,1898.45,DDR-213-20250506
MDS-00350-018,MDS-00350,18,06-May-2025,NGP-HA-213,LW-410,"LWD resistivity, logged",metre,"8-1/2""",Operating,,,10,15.07,150.70,DDR-213-20250506
MDS-00350-019,MDS-00350,19,06-May-2025,NGP-HA-213,LW-411,"LWD density and neutron, logged",metre,"8-1/2""",Operating,,,10,22.30,223.00,DDR-213-20250506
MDS-00350-020,MDS-00350,20,06-May-2025,NGP-HA-213,LW-412,"LWD sonic, logged",metre,"8-1/2""",Operating,,,10,17.61,176.10,DDR-213-20250506
MDS-00350-021,MDS-00350,21,06-May-2025,NGP-HA-213,MW-301,MWD engineer,person-day,"8-1/2""",Operating,,,2,1646.55,3293.10,DDR-213-20250506
MDS-00350-022,MDS-00350,22,06-May-2025,NGP-HA-213,MW-310,MWD directional and gamma tool,day,"8-1/2""",Operating,,,1,2899.26,2899.26,DDR-213-20250506
MDS-00350-023,MDS-00350,23,06-May-2025,NGP-HA-213,MW-320,Pressure while drilling module,day,"8-1/2""",Operating,,,1,1033.04,1033.04,DDR-213-20250506
MDS-00350-024,MDS-00350,24,06-May-2025,NGP-HA-213,MW-330,Real-time data transmission,day,"8-1/2""",Operating,,,1,309.75,309.75,DDR-213-20250506
MDS-00350-025,MDS-00350,25,07-May-2025,NGP-HA-213,DD-101,"Directional driller, 24-hour coverage",person-day,"8-1/2""",Operating,,,2,1847.35,3694.70,DDR-213-20250507
MDS-00350-026,MDS-00350,26,07-May-2025,NGP-HA-213,DD-102,"Directional coordinator, office based",day,"8-1/2""",Operating,,,1,948.60,948.60,DDR-213-20250507
MDS-00350-027,MDS-00350,27,07-May-2025,NGP-HA-213,DD-120,"Rotary steerable system, circulating",hour,"8-1/2""",Operating,,,7,481.00,3367.00,DDR-213-20250507
MDS-00350-028,MDS-00350,28,07-May-2025,NGP-HA-213,HC-610,Wiper trip supervision,trip,"8-1/2""",Operating,,,1,1947.15,1947.15,DDR-213-20250507
MDS-00350-029,MDS-00350,29,07-May-2025,NGP-HA-213,HC-620,Drilling jar rental,day,"8-1/2""",Operating,,,1,556.38,556.38,DDR-213-20250507
MDS-00350-030,MDS-00350,30,07-May-2025,NGP-HA-213,HC-630,Casing drift and clean-out run,run,"8-1/2""",Operating,,,1,4295.85,4295.85,DDR-213-20250507
MDS-00350-031,MDS-00350,31,07-May-2025,NGP-HA-213,LW-401,LWD engineer,person-day,"8-1/2""",Operating,,,1,1898.45,1898.45,DDR-213-20250507
MDS-00350-032,MDS-00350,32,07-May-2025,NGP-HA-213,MW-301,MWD engineer,person-day,"8-1/2""",Operating,,,2,1646.55,3293.10,DDR-213-20250507
MDS-00350-033,MDS-00350,33,07-May-2025,NGP-HA-213,MW-310,MWD directional and gamma tool,day,"8-1/2""",Operating,,,1,2899.26,2899.26,DDR-213-20250507
MDS-00350-034,MDS-00350,34,07-May-2025,NGP-HA-213,MW-320,Pressure while drilling module,day,"8-1/2""",Operating,,,1,1033.04,1033.04,DDR-213-20250507
MDS-00350-035,MDS-00350,35,07-May-2025,NGP-HA-213,MW-330,Real-time data transmission,day,"8-1/2""",Operating,,,1,309.75,309.75,DDR-213-20250507
MDS-00350-036,MDS-00350,36,07-May-2025,NGP-HA-213,RM-530,Back-reaming while tripping,hour,"8-1/2""",Operating,,,4,264.55,1058.20,DDR-213-20250507
MDS-00351-001,MDS-00351,1,05-May-2025,NGP-QA-004,DD-101,"Directional driller, 24-hour coverage",person-day,"17-1/2""",Operating,,,2,1847.35,3694.70,DDR-004-20250505
MDS-00351-002,MDS-00351,2,05-May-2025,NGP-QA-004,DD-102,"Directional coordinator, office based",day,"17-1/2""",Operating,,,1,948.60,948.60,DDR-004-20250505
MDS-00351-003,MDS-00351,3,05-May-2025,NGP-QA-004,DD-110,Positive displacement motor rental,day,"17-1/2""",Operating,,,1,1623.32,1623.32,DDR-004-20250505
MDS-00351-004,MDS-00351,4,05-May-2025,NGP-QA-004,DD-130,Gyro survey,survey,"17-1/2""",Operating,,,1,2446.15,2446.15,DDR-004-20250505
MDS-00351-005,MDS-00351,5,05-May-2025,NGP-QA-004,HC-601,Hole cleaning circulating sub,day,"17-1/2""",Operating,,,1,689.35,689.35,DDR-004-20250505
MDS-00351-006,MDS-00351,6,05-May-2025,NGP-QA-004,HC-620,Drilling jar rental,day,"17-1/2""",Operating,,,1,556.38,556.38,DDR-004-20250505
MDS-00351-007,MDS-00351,7,05-May-2025,NGP-QA-004,MW-301,MWD engineer,person-day,"17-1/2""",Operating,,,2,1646.55,3293.10,DDR-004-20250505
MDS-00351-008,MDS-00351,8,05-May-2025,NGP-QA-004,MW-310,MWD directional and gamma tool,day,"17-1/2""",Operating,,,1,2651.21,2651.21,DDR-004-20250505
MDS-00351-009,MDS-00351,9,05-May-2025,NGP-QA-004,MW-330,Real-time data transmission,day,"17-1/2""",Operating,,,1,309.75,309.75,DDR-004-20250505
MDS-00351-010,MDS-00351,10,05-May-2025,NGP-QA-004,RM-520,Roller reamer and stabiliser rental,day,"17-1/2""",Operating,,,1,419.85,419.85,DDR-004-20250505
MDS-00351-011,MDS-00351,11,06-May-2025,NGP-QA-004,DD-101,"Directional driller, 24-hour coverage",person-day,"17-1/2""",Operating,,,2,1847.35,3694.70,DDR-004-20250506
MDS-00351-012,MDS-00351,12,06-May-2025,NGP-QA-004,DD-102,"Directional coordinator, office based",day,"17-1/2""",Operating,,,1,948.60,948.60,DDR-004-20250506
MDS-00351-013,MDS-00351,13,06-May-2025,NGP-QA-004,DD-110,Positive displacement motor rental,day,"17-1/2""",Operating,,,1,1623.32,1623.32,DDR-004-20250506
MDS-00351-014,MDS-00351,14,06-May-2025,NGP-QA-004,DD-111,Motor redress and inspection,run,"17-1/2""",Operating,,,1,3589.45,3589.45,DDR-004-20250506
MDS-00351-015,MDS-00351,15,06-May-2025,NGP-QA-004,DD-130,Gyro survey,survey,"17-1/2""",Operating,,,1,2446.15,2446.15,DDR-004-20250506
MDS-00351-016,MDS-00351,16,06-May-2025,NGP-QA-004,HC-601,Hole cleaning circulating sub,day,"17-1/2""",Operating,,,1,689.35,689.35,DDR-004-20250506
MDS-00351-017,MDS-00351,17,06-May-2025,NGP-QA-004,HC-620,Drilling jar rental,day,"17-1/2""",Operating,,,1,556.38,556.38,DDR-004-20250506
MDS-00351-018,MDS-00351,18,06-May-2025,NGP-QA-004,MW-301,MWD engineer,person-day,"17-1/2""",Operating,,,2,1646.55,3293.10,DDR-004-20250506
MDS-00351-019,MDS-00351,19,06-May-2025,NGP-QA-004,MW-310,MWD directional and gamma tool,day,"17-1/2""",Operating,,,1,2651.21,2651.21,DDR-004-20250506
MDS-00351-020,MDS-00351,20,06-May-2025,NGP-QA-004,MW-330,Real-time data transmission,day,"17-1/2""",Operating,,,1,309.75,309.75,DDR-004-20250506
MDS-00351-021,MDS-00351,21,06-May-2025,NGP-QA-004,RM-520,Roller reamer and stabiliser rental,day,"17-1/2""",Operating,,,1,419.85,419.85,DDR-004-20250506
MDS-00351-022,MDS-00351,22,07-May-2025,NGP-QA-004,DD-101,"Directional driller, 24-hour coverage",person-day,"17-1/2""",Operating,,,2,1847.35,3694.70,DDR-004-20250507
MDS-00351-023,MDS-00351,23,07-May-2025,NGP-QA-004,DD-102,"Directional coordinator, office based",day,"17-1/2""",Operating,,,1,948.60,948.60,DDR-004-20250507
MDS-00351-024,MDS-00351,24,07-May-2025,NGP-QA-004,DD-110,Positive displacement motor rental,day,"17-1/2""",Operating,,,1,1623.32,1623.32,DDR-004-20250507
MDS-00351-025,MDS-00351,25,07-May-2025,NGP-QA-004,HC-601,Hole cleaning circulating sub,day,"17-1/2""",Operating,,,1,689.35,689.35,DDR-004-20250507
MDS-00351-026,MDS-00351,26,07-May-2025,NGP-QA-004,HC-620,Drilling jar rental,day,"17-1/2""",Operating,,,1,556.38,556.38,DDR-004-20250507
MDS-00351-027,MDS-00351,27,07-May-2025,NGP-QA-004,MW-301,MWD engineer,person-day,"17-1/2""",Operating,,,2,1646.55,3293.10,DDR-004-20250507
MDS-00351-028,MDS-00351,28,07-May-2025,NGP-QA-004,MW-310,MWD directional and gamma tool,day,"17-1/2""",Operating,,,1,2651.21,2651.21,DDR-004-20250507
MDS-00351-029,MDS-00351,29,07-May-2025,NGP-QA-004,MW-330,Real-time data transmission,day,"17-1/2""",Operating,,,1,309.75,309.75,DDR-004-20250507
MDS-00351-030,MDS-00351,30,07-May-2025,NGP-QA-004,RM-520,Roller reamer and stabiliser rental,day,"17-1/2""",Operating,,,1,419.85,419.85,DDR-004-20250507
MDS-00351-031,MDS-00351,31,08-May-2025,NGP-QA-004,DD-101,"Directional driller, 24-hour coverage",person-day,"17-1/2""",Operating,,,2,1847.35,3694.70,DDR-004-20250508
MDS-00351-032,MDS-00351,32,08-May-2025,NGP-QA-004,DD-102,"Directional coordinator, office based",day,"17-1/2""",Operating,,,1,948.60,948.60,DDR-004-20250508
MDS-00351-033,MDS-00351,33,08-May-2025,NGP-QA-004,DD-110,Positive displacement motor rental,day,"17-1/2""",Operating,,,1,1623.32,1623.32,DDR-004-20250508
MDS-00351-034,MDS-00351,34,08-May-2025,NGP-QA-004,HC-601,Hole cleaning circulating sub,day,"17-1/2""",Operating,,,1,689.35,689.35,DDR-004-20250508
MDS-00351-035,MDS-00351,35,08-May-2025,NGP-QA-004,HC-620,Drilling jar rental,day,"17-1/2""",Operating,,,1,556.38,556.38,DDR-004-20250508
MDS-00351-036,MDS-00351,36,08-May-2025,NGP-QA-004,MW-301,MWD engineer,person-day,"17-1/2""",Operating,,,2,1646.55,3293.10,DDR-004-20250508
MDS-00351-037,MDS-00351,37,08-May-2025,NGP-QA-004,MW-310,MWD directional and gamma tool,day,"17-1/2""",Operating,,,1,2651.21,2651.21,DDR-004-20250508
MDS-00351-038,MDS-00351,38,08-May-2025,NGP-QA-004,MW-330,Real-time data transmission,day,"17-1/2""",Operating,,,1,309.75,309.75,DDR-004-20250508
MDS-00351-039,MDS-00351,39,08-May-2025,NGP-QA-004,RM-520,Roller reamer and stabiliser rental,day,"17-1/2""",Operating,,,1,419.85,419.85,DDR-004-20250508
MDS-00352-001,MDS-00352,1,05-May-2025,NGP-QA-144,DD-101,"Directional driller, 24-hour coverage",person-day,"12-1/4""",Operating,,,2,1847.35,3694.70,DDR-144-20250505
MDS-00352-002,MDS-00352,2,05-May-2025,NGP-QA-144,DD-102,"Directional coordinator, office based",day,"12-1/4""",Operating,,,1,948.60,948.60,DDR-144-20250505
MDS-00352-003,MDS-00352,3,05-May-2025,NGP-QA-144,DD-120,"Rotary steerable system, circulating",hour,"12-1/4""",Operating,,,14,384.15,5378.10,DDR-144-20250505
MDS-00352-004,MDS-00352,4,05-May-2025,NGP-QA-144,HC-620,Drilling jar rental,day,"12-1/4""",Operating,,,1,556.38,556.38,DDR-144-20250505
MDS-00352-005,MDS-00352,5,05-May-2025,NGP-QA-144,HC-640,Cuttings bed monitoring,day,"12-1/4""",Operating,,,1,719.55,719.55,DDR-144-20250505
MDS-00352-006,MDS-00352,6,05-May-2025,NGP-QA-144,MW-301,MWD engineer,person-day,"12-1/4""",Operating,,,2,1646.55,3293.10,DDR-144-20250505
MDS-00352-007,MDS-00352,7,05-May-2025,NGP-QA-144,MW-310,MWD directional and gamma tool,day,"12-1/4""",Operating,,,1,2315.47,2315.47,DDR-144-20250505
MDS-00352-008,MDS-00352,8,05-May-2025,NGP-QA-144,MW-320,Pressure while drilling module,day,"12-1/4""",Operating,,,1,779.65,779.65,DDR-144-20250505
MDS-00352-009,MDS-00352,9,05-May-2025,NGP-QA-144,MW-330,Real-time data transmission,day,"12-1/4""",Operating,,,1,309.75,309.75,DDR-144-20250505
MDS-00352-010,MDS-00352,10,05-May-2025,NGP-QA-144,PD-201,Drilling optimisation engineer,person-day,"12-1/4""",Operating,,,1,2094.85,2094.85,DDR-144-20250505
